town,page,url
ans,2,https://immovlan.be/en/detail/apartment/for-sale/4430/ans/vbc80595
ans,2,https://immovlan.be/en/detail/apartment/for-sale/4430/ans/vbc86146
ans,2,https://immovlan.be/en/detail/apartment/for-sale/4430/ans/vbc86369
ans,2,https://immovlan.be/en/detail/apartment/for-sale/4430/ans/vbc86370
ans,2,https://immovlan.be/en/detail/apartment/for-sale/4430/ans/vbc86371
ans,2,https://immovlan.be/en/detail/apartment/for-sale/4430/ans/vbc86372
ans,2,https://immovlan.be/en/detail/apartment/for-sale/4430/ans/vbc86373
ans,2,https://immovlan.be/en/detail/apartment/for-sale/4430/ans/vbc86374
ans,2,https://immovlan.be/en/detail/apartment/for-sale/4430/ans/vbc86377
ans,2,https://immovlan.be/en/detail/apartment/for-sale/4432/alleur/vbc82605
ans,2,https://immovlan.be/en/detail/duplex/for-sale/4431/loncin/vbc80568
ans,2,https://immovlan.be/en/detail/residence/for-sale/4430/ans/vbc82602
ans,2,https://immovlan.be/en/detail/residence/for-sale/4430/ans/vbc82703
ans,2,https://immovlan.be/en/detail/residence/for-sale/4430/ans/vbc83267
ans,2,https://immovlan.be/en/detail/residence/for-sale/4430/ans/vbc83552
ans,2,https://immovlan.be/en/detail/residence/for-sale/4431/loncin/vbc80569
ans,2,https://immovlan.be/en/detail/residence/for-sale/4432/alleur/vbc79853
ans,2,https://immovlan.be/en/detail/residence/for-sale/4432/alleur/vbc80232
ans,2,https://immovlan.be/en/detail/residence/for-sale/4432/alleur/vbc85531
ans,2,https://immovlan.be/en/detail/residence/for-sale/4432/xhendremael/vbc79949
