town,page,url
antoing,1,https://immovlan.be/en/detail/apartment/for-sale/7640/antoing/vbc76051
antoing,1,https://immovlan.be/en/detail/apartment/for-sale/7640/antoing/vbc80887
antoing,1,https://immovlan.be/en/detail/master-house/for-sale/7640/antoing/vbc85442
antoing,1,https://immovlan.be/en/detail/residence/for-sale/7640/antoing/vbb97407
antoing,1,https://immovlan.be/en/detail/residence/for-sale/7640/antoing/vbc03880
antoing,1,https://immovlan.be/en/detail/residence/for-sale/7640/antoing/vbc61590
antoing,1,https://immovlan.be/en/detail/residence/for-sale/7640/antoing/vbc63094
antoing,1,https://immovlan.be/en/detail/residence/for-sale/7640/antoing/vbc63522
antoing,1,https://immovlan.be/en/detail/residence/for-sale/7640/antoing/vbc67599
antoing,1,https://immovlan.be/en/detail/residence/for-sale/7640/antoing/vbc79090
antoing,1,https://immovlan.be/en/detail/residence/for-sale/7640/antoing/vbc85433
antoing,1,https://immovlan.be/en/detail/residence/for-sale/7640/antoing/vbc88671
antoing,1,https://immovlan.be/en/detail/residence/for-sale/7641/bruyelle/vbc61813
antoing,1,https://immovlan.be/en/detail/residence/for-sale/7641/bruyelle/vbc61814
antoing,1,https://immovlan.be/en/detail/residence/for-sale/7641/bruyelle/vbc61815
antoing,1,https://immovlan.be/en/detail/residence/for-sale/7641/bruyelle/vbc84426
antoing,1,https://immovlan.be/en/detail/residence/for-sale/7641/bruyelle/vbc88351
antoing,1,https://immovlan.be/en/detail/residence/for-sale/7642/calonne/vbc68972
antoing,2,https://immovlan.be/en/detail/residence/for-sale/7640/antoing/vbb92951
antoing,2,https://immovlan.be/en/detail/residence/for-sale/7640/antoing/vbc35504
antoing,2,https://immovlan.be/en/detail/residence/for-sale/7640/maubray/vbc15514
antoing,2,https://immovlan.be/en/detail/residence/for-sale/7640/peronnes/vwd12694
antoing,2,https://immovlan.be/en/detail/villa/for-sale/7640/antoing/vbb19855
antoing,2,https://immovlan.be/en/detail/villa/for-sale/7640/antoing/vbc04068
