town,page,url
charleroi,29,https://immovlan.be/en/detail/apartment/for-sale/6000/charleroi/vbc29682
charleroi,29,https://immovlan.be/en/detail/apartment/for-sale/6010/couillet/vbc26069
charleroi,29,https://immovlan.be/en/detail/apartment/for-sale/6043/ransart/vbc09420
charleroi,29,https://immovlan.be/en/detail/duplex/for-sale/6060/gilly/vwd12168
charleroi,29,https://immovlan.be/en/detail/residence/for-sale/6000/charleroi/vbc29470
charleroi,29,https://immovlan.be/en/detail/residence/for-sale/6010/couillet/vbc29373
charleroi,29,https://immovlan.be/en/detail/residence/for-sale/6020/dampremy/vbc23272
charleroi,29,https://immovlan.be/en/detail/residence/for-sale/6031/monceau-sur-sambre/vbc28452
charleroi,29,https://immovlan.be/en/detail/residence/for-sale/6031/monceau-sur-sambre/vbc28453
charleroi,29,https://immovlan.be/en/detail/residence/for-sale/6032/mont-sur-marchienne/vbc25507
charleroi,29,https://immovlan.be/en/detail/residence/for-sale/6040/jumet/vbc22093
charleroi,29,https://immovlan.be/en/detail/residence/for-sale/6040/jumet/vbc26837
charleroi,29,https://immovlan.be/en/detail/residence/for-sale/6040/jumet/vbc28698
charleroi,29,https://immovlan.be/en/detail/residence/for-sale/6040/jumet/vbc28787
charleroi,29,https://immovlan.be/en/detail/residence/for-sale/6040/jumet/vbc29681
charleroi,29,https://immovlan.be/en/detail/residence/for-sale/6041/gosselies/vbc28132
charleroi,29,https://immovlan.be/en/detail/residence/for-sale/6044/roux/vbc25289
charleroi,29,https://immovlan.be/en/detail/residence/for-sale/6060/gilly/vbc29678
charleroi,29,https://immovlan.be/en/detail/residence/for-sale/6060/gilly/vwd12167
charleroi,29,https://immovlan.be/en/detail/villa/for-sale/6032/mont-sur-marchienne/vbc28199
