town,page,url
deinze,4,https://immovlan.be/en/detail/apartment/for-sale/9800/deinze/rbt26808
deinze,4,https://immovlan.be/en/detail/apartment/for-sale/9800/deinze/rbt47162
deinze,4,https://immovlan.be/en/detail/apartment/for-sale/9800/deinze/rbt47675
deinze,4,https://immovlan.be/en/detail/apartment/for-sale/9800/deinze/vbc74836
deinze,4,https://immovlan.be/en/detail/apartment/for-sale/9850/nevele/rbt47872
deinze,4,https://immovlan.be/en/detail/apartment/for-sale/9850/nevele/rbt47874
deinze,4,https://immovlan.be/en/detail/apartment/for-sale/9850/nevele/rbt47875
deinze,4,https://immovlan.be/en/detail/mixed-building/for-sale/9800/deinze/rbt38901
deinze,4,https://immovlan.be/en/detail/residence/for-sale/9800/astene/rbt29161
deinze,4,https://immovlan.be/en/detail/residence/for-sale/9800/astene/rbt36515
deinze,4,https://immovlan.be/en/detail/residence/for-sale/9800/astene/rbt36516
deinze,4,https://immovlan.be/en/detail/residence/for-sale/9800/astene/rbt36517
deinze,4,https://immovlan.be/en/detail/residence/for-sale/9800/deinze/rbt37114
deinze,4,https://immovlan.be/en/detail/residence/for-sale/9800/deinze/rbt47351
deinze,4,https://immovlan.be/en/detail/residence/for-sale/9800/vinkt/rbt31003
deinze,4,https://immovlan.be/en/detail/residence/for-sale/9800/wontergem/rwc39746
deinze,4,https://immovlan.be/en/detail/residence/for-sale/9850/landegem/rwc39483
deinze,4,https://immovlan.be/en/detail/residence/for-sale/9850/merendree/rbt27138
deinze,4,https://immovlan.be/en/detail/residence/for-sale/9850/merendree/rbt27139
deinze,4,https://immovlan.be/en/detail/villa/for-sale/9800/deinze/rwc39146
