town,page,url
durbuy,7,https://immovlan.be/en/detail/apartment/for-sale/6940/barvaux-sur-ourthe/vbc33290
durbuy,7,https://immovlan.be/en/detail/apartment/for-sale/6940/durbuy/vay67071
durbuy,7,https://immovlan.be/en/detail/bungalow/for-sale/6940/durbuy/vbb29626
durbuy,7,https://immovlan.be/en/detail/bungalow/for-sale/6941/tohogne/vbc42479
durbuy,7,https://immovlan.be/en/detail/mansion/for-sale/6940/durbuy/rbm32738
durbuy,7,https://immovlan.be/en/detail/penthouse/for-sale/6940/durbuy/vba30385
durbuy,7,https://immovlan.be/en/detail/residence/for-sale/6940/durbuy/vaz44906
durbuy,7,https://immovlan.be/en/detail/residence/for-sale/6940/durbuy/vba84810
durbuy,7,https://immovlan.be/en/detail/residence/for-sale/6940/durbuy/vbb04276
durbuy,7,https://immovlan.be/en/detail/residence/for-sale/6940/durbuy/vbb04277
durbuy,7,https://immovlan.be/en/detail/residence/for-sale/6940/durbuy/vbb04278
durbuy,7,https://immovlan.be/en/detail/residence/for-sale/6940/durbuy/vbb22241
durbuy,7,https://immovlan.be/en/detail/residence/for-sale/6940/durbuy/vbb43475
durbuy,7,https://immovlan.be/en/detail/residence/for-sale/6940/durbuy/vbb66350
durbuy,7,https://immovlan.be/en/detail/residence/for-sale/6940/durbuy/vbb79121
durbuy,7,https://immovlan.be/en/detail/residence/for-sale/6940/durbuy/vbb83803
durbuy,7,https://immovlan.be/en/detail/residence/for-sale/6940/durbuy/vbb83804
durbuy,7,https://immovlan.be/en/detail/residence/for-sale/6940/durbuy/vbc31640
durbuy,7,https://immovlan.be/en/detail/residence/for-sale/6941/tohogne/vbc06287
