town,page,url
fleurus,2,https://immovlan.be/en/detail/apartment/for-sale/6220/fleurus/vbc31038
fleurus,2,https://immovlan.be/en/detail/apartment/for-sale/6220/fleurus/vbc31039
fleurus,2,https://immovlan.be/en/detail/apartment/for-sale/6220/fleurus/vbc31072
fleurus,2,https://immovlan.be/en/detail/apartment/for-sale/6220/fleurus/vbc31116
fleurus,2,https://immovlan.be/en/detail/apartment/for-sale/6220/fleurus/vbc82865
fleurus,2,https://immovlan.be/en/detail/apartment/for-sale/6220/fleurus/vbc85988
fleurus,2,https://immovlan.be/en/detail/apartment/for-sale/6224/wanfercee-baulet/vbc85985
fleurus,2,https://immovlan.be/en/detail/residence/for-sale/6220/fleurus/vbb77731
fleurus,2,https://immovlan.be/en/detail/residence/for-sale/6220/fleurus/vbc77414
fleurus,2,https://immovlan.be/en/detail/residence/for-sale/6220/fleurus/vbc82103
fleurus,2,https://immovlan.be/en/detail/residence/for-sale/6220/fleurus/vbc83387
fleurus,2,https://immovlan.be/en/detail/residence/for-sale/6220/fleurus/vbc85983
fleurus,2,https://immovlan.be/en/detail/residence/for-sale/6220/heppignies/vbc85982
fleurus,2,https://immovlan.be/en/detail/residence/for-sale/6220/lambusart/vbc54279
fleurus,2,https://immovlan.be/en/detail/residence/for-sale/6220/lambusart/vbc65505
fleurus,2,https://immovlan.be/en/detail/residence/for-sale/6220/wangenies/vbc85987
fleurus,2,https://immovlan.be/en/detail/residence/for-sale/6223/wagnelee/vbc85986
fleurus,2,https://immovlan.be/en/detail/residence/for-sale/6224/wanfercee-baulet/vbc40979
