town,page,url
fontaine-leveque,2,https://immovlan.be/en/detail/apartment/for-sale/1000/brussels/vbc89261
fontaine-leveque,2,https://immovlan.be/en/detail/apartment/for-sale/8620/nieuwpoort/rbt69334
fontaine-leveque,2,https://immovlan.be/en/detail/apartment/for-sale/9940/kluizen/rbt68849
fontaine-leveque,2,https://immovlan.be/en/detail/apartment/for-sale/9940/kluizen/rbt68850
fontaine-leveque,2,https://immovlan.be/en/detail/apartment/for-sale/9940/kluizen/rbt68851
fontaine-leveque,2,https://immovlan.be/en/detail/apartment/for-sale/9990/maldegem/rbt69345
fontaine-leveque,2,https://immovlan.be/en/detail/mixed-building/for-sale/6511/stree/vbc89216
fontaine-leveque,2,https://immovlan.be/en/detail/penthouse/for-sale/8630/veurne/rbt69333
fontaine-leveque,2,https://immovlan.be/en/detail/residence/for-sale/1082/berchem-sainte-agathe/vbc89484
fontaine-leveque,2,https://immovlan.be/en/detail/residence/for-sale/1980/zemst/rbt69080
fontaine-leveque,2,https://immovlan.be/en/detail/residence/for-sale/2500/lier/rbt69212
fontaine-leveque,2,https://immovlan.be/en/detail/residence/for-sale/5190/moustier-sur-sambre/vbc89196
fontaine-leveque,2,https://immovlan.be/en/detail/residence/for-sale/5300/andenne/vbc89366
fontaine-leveque,2,https://immovlan.be/en/detail/residence/for-sale/5575/willerzie/vbc89368
fontaine-leveque,2,https://immovlan.be/en/detail/residence/for-sale/6001/marcinelle/vbc89444
fontaine-leveque,2,https://immovlan.be/en/detail/residence/for-sale/6043/ransart/vbc89441
fontaine-leveque,2,https://immovlan.be/en/detail/residence/for-sale/8520/kuurne/rbt68979
fontaine-leveque,2,https://immovlan.be/en/detail/residence/for-sale/8930/menen/rbt68826
fontaine-leveque,2,https://immovlan.be/en/detail/residence/for-sale/9550/herzele/rbt68841
fontaine-leveque,2,https://immovlan.be/en/detail/villa/for-sale/1330/rixensart/vbc89345
