town,page,url
halle,1,https://immovlan.be/en/detail/apartment/for-sale/1500/halle/rbt03369
halle,1,https://immovlan.be/en/detail/apartment/for-sale/1500/halle/rbt64722
halle,1,https://immovlan.be/en/detail/apartment/for-sale/1500/halle/rbt69974
halle,1,https://immovlan.be/en/detail/apartment/for-sale/1501/buizingen/rbt69973
halle,1,https://immovlan.be/en/detail/penthouse/for-sale/1500/halle/rbt65020
halle,1,https://immovlan.be/en/detail/residence/for-sale/1500/halle/rbs62248
halle,1,https://immovlan.be/en/detail/residence/for-sale/1500/halle/rbt29907
halle,1,https://immovlan.be/en/detail/residence/for-sale/1500/halle/rbt66165
halle,1,https://immovlan.be/en/detail/residence/for-sale/1500/halle/rbt66712
halle,1,https://immovlan.be/en/detail/residence/for-sale/1500/halle/rbt67312
halle,1,https://immovlan.be/en/detail/residence/for-sale/1500/halle/rbt67313
halle,1,https://immovlan.be/en/detail/residence/for-sale/1500/halle/rbt68224
halle,1,https://immovlan.be/en/detail/residence/for-sale/1500/halle/rbt68796
halle,1,https://immovlan.be/en/detail/residence/for-sale/1500/halle/rbt68797
halle,1,https://immovlan.be/en/detail/residence/for-sale/1500/halle/rbt69976
halle,1,https://immovlan.be/en/detail/residence/for-sale/1500/halle/rbt69979
halle,1,https://immovlan.be/en/detail/residence/for-sale/1500/halle/rbt71408
halle,1,https://immovlan.be/en/detail/residence/for-sale/1502/lembeek/rbt69977
halle,1,https://immovlan.be/en/detail/residence/in-public-sale/1502/lembeek/rbt68439
halle,2,https://immovlan.be/en/detail/apartment/for-sale/1500/halle/rbs92631
halle,2,https://immovlan.be/en/detail/apartment/for-sale/1500/halle/rbt20892
halle,2,https://immovlan.be/en/detail/apartment/for-sale/1500/halle/rbt26329
halle,2,https://immovlan.be/en/detail/apartment/for-sale/1500/halle/rbt63028
halle,2,https://immovlan.be/en/detail/apartment/for-sale/1500/halle/rbt64148
halle,2,https://immovlan.be/en/detail/apartment/for-sale/1502/lembeek/rbs69193
halle,2,https://immovlan.be/en/detail/ground-floor/for-sale/1500/halle/rwc31895
halle,2,https://immovlan.be/en/detail/ground-floor/for-sale/1500/halle/rwc31896
halle,2,https://immovlan.be/en/detail/ground-floor/for-sale/1501/buizingen/rbr99636
halle,2,https://immovlan.be/en/detail/residence/for-sale/1500/halle/rbs36833
halle,2,https://immovlan.be/en/detail/residence/for-sale/1500/halle/rbt25162
halle,2,https://immovlan.be/en/detail/residence/for-sale/1500/halle/rbt43494
halle,2,https://immovlan.be/en/detail/residence/for-sale/1500/halle/rbt63979
halle,2,https://immovlan.be/en/detail/residence/for-sale/1501/buizingen/rbs36832
halle,2,https://immovlan.be/en/detail/residence/for-sale/1502/lembeek/rbt26767
halle,2,https://immovlan.be/en/detail/studio/for-sale/1502/lembeek/rbr67314
halle,3,https://immovlan.be/en/detail/apartment/for-sale/1500/halle/rbt35934
halle,3,https://immovlan.be/en/detail/apartment/for-sale/1500/halle/rbt35936
halle,3,https://immovlan.be/en/detail/apartment/for-sale/1500/halle/rbt44114
halle,3,https://immovlan.be/en/detail/apartment/for-sale/1500/halle/rbt45262
halle,3,https://immovlan.be/en/detail/apartment/for-sale/1500/halle/rbt45420
halle,3,https://immovlan.be/en/detail/apartment/for-sale/1501/buizingen/rbt31396
halle,3,https://immovlan.be/en/detail/bungalow/for-sale/1502/lembeek/rbs82251
halle,3,https://immovlan.be/en/detail/mixed-building/for-sale/1500/halle/rbt45869
halle,3,https://immovlan.be/en/detail/residence/for-sale/1500/halle/rbt32884
halle,3,https://immovlan.be/en/detail/residence/for-sale/1500/halle/rbt33611
halle,3,https://immovlan.be/en/detail/residence/for-sale/1500/halle/rbt36550
halle,3,https://immovlan.be/en/detail/residence/for-sale/1500/halle/rbt45093
halle,3,https://immovlan.be/en/detail/residence/for-sale/1500/halle/rbt48134
halle,3,https://immovlan.be/en/detail/residence/for-sale/1500/halle/rwc39533
halle,3,https://immovlan.be/en/detail/residence/for-sale/1500/halle/vbc85707
halle,3,https://immovlan.be/en/detail/residence/for-sale/1501/buizingen/rbt38131
halle,3,https://immovlan.be/en/detail/residence/for-sale/1501/buizingen/vwd13371
halle,3,https://immovlan.be/en/detail/residence/for-sale/1502/lembeek/rbt45092
halle,3,https://immovlan.be/en/detail/residence/for-sale/1502/lembeek/rbt45173
halle,3,https://immovlan.be/en/detail/villa/for-sale/1500/halle/rbt47498
halle,4,https://immovlan.be/en/detail/apartment/for-sale/1500/halle/rbt11311
halle,4,https://immovlan.be/en/detail/apartment/for-sale/1500/halle/rbt30063
halle,4,https://immovlan.be/en/detail/apartment/for-sale/1500/halle/rbt30947
halle,4,https://immovlan.be/en/detail/ground-floor/for-sale/1501/buizingen/rbt31063
halle,4,https://immovlan.be/en/detail/residence/for-sale/1500/halle/rbt09531
halle,4,https://immovlan.be/en/detail/residence/for-sale/1500/halle/rbt21224
halle,4,https://immovlan.be/en/detail/residence/for-sale/1500/halle/rbt22239
halle,4,https://immovlan.be/en/detail/residence/for-sale/1500/halle/rbt23691
halle,4,https://immovlan.be/en/detail/residence/for-sale/1500/halle/rbt24466
halle,4,https://immovlan.be/en/detail/residence/for-sale/1500/halle/rbt25099
