town,page,url
herentals,2,https://immovlan.be/en/detail/apartment/for-sale/2200/herentals/rbt64331
herentals,2,https://immovlan.be/en/detail/apartment/for-sale/2200/herentals/rwc39789
herentals,2,https://immovlan.be/en/detail/master-house/for-sale/2200/herentals/rwc37534
herentals,2,https://immovlan.be/en/detail/residence/for-sale/2200/herentals/rbt40252
herentals,2,https://immovlan.be/en/detail/residence/for-sale/2200/herentals/rbt40254
herentals,2,https://immovlan.be/en/detail/residence/for-sale/2200/herentals/rbt42565
herentals,2,https://immovlan.be/en/detail/residence/for-sale/2200/herentals/rbt43171
herentals,2,https://immovlan.be/en/detail/residence/for-sale/2200/herentals/rbt44098
herentals,2,https://immovlan.be/en/detail/residence/for-sale/2200/herentals/rbt45779
herentals,2,https://immovlan.be/en/detail/residence/for-sale/2200/herentals/rbt63749
herentals,2,https://immovlan.be/en/detail/residence/for-sale/2200/herentals/rbt64336
herentals,2,https://immovlan.be/en/detail/residence/for-sale/2200/noorderwijk/rbt40253
herentals,2,https://immovlan.be/en/detail/residence/for-sale/2200/noorderwijk/rbt42566
herentals,2,https://immovlan.be/en/detail/residence/for-sale/2200/noorderwijk/rbt42747
