town,page,url
herstal,2,https://immovlan.be/en/detail/apartment/for-sale/4040/herstal/vbc79104
herstal,2,https://immovlan.be/en/detail/apartment/for-sale/4040/herstal/vbc79967
herstal,2,https://immovlan.be/en/detail/apartment/for-sale/4040/herstal/vbc80464
herstal,2,https://immovlan.be/en/detail/apartment/for-sale/4041/vottem/vbc85971
herstal,2,https://immovlan.be/en/detail/cottage/for-sale/4041/milmort/vbc83588
herstal,2,https://immovlan.be/en/detail/residence/for-sale/4040/herstal/vbc09496
herstal,2,https://immovlan.be/en/detail/residence/for-sale/4040/herstal/vbc51551
herstal,2,https://immovlan.be/en/detail/residence/for-sale/4040/herstal/vbc67145
herstal,2,https://immovlan.be/en/detail/residence/for-sale/4040/herstal/vbc77949
herstal,2,https://immovlan.be/en/detail/residence/for-sale/4040/herstal/vbc80224
herstal,2,https://immovlan.be/en/detail/residence/for-sale/4040/herstal/vbc80567
herstal,2,https://immovlan.be/en/detail/residence/for-sale/4040/herstal/vbc80904
herstal,2,https://immovlan.be/en/detail/residence/for-sale/4040/herstal/vbc81904
herstal,2,https://immovlan.be/en/detail/residence/for-sale/4040/herstal/vbc82744
herstal,2,https://immovlan.be/en/detail/residence/for-sale/4040/herstal/vbc83598
herstal,2,https://immovlan.be/en/detail/residence/for-sale/4040/herstal/vbc84316
herstal,2,https://immovlan.be/en/detail/residence/for-sale/4041/milmort/vbc77714
herstal,2,https://immovlan.be/en/detail/residence/for-sale/4041/milmort/vbc80274
herstal,2,https://immovlan.be/en/detail/residence/for-sale/4041/vottem/vbc82732
herstal,2,https://immovlan.be/en/detail/residence/for-sale/4042/liers/vbc80625
