town,page,url
kortrijk,1,https://immovlan.be/en/detail/apartment/for-sale/8500/kortrijk/rbt65236
kortrijk,1,https://immovlan.be/en/detail/apartment/for-sale/8500/kortrijk/rbt69745
kortrijk,1,https://immovlan.be/en/detail/apartment/for-sale/8500/kortrijk/rbt71496
kortrijk,1,https://immovlan.be/en/detail/apartment/for-sale/8500/kortrijk/rbt71769
kortrijk,1,https://immovlan.be/en/detail/apartment/for-sale/8500/kortrijk/rbt71798
kortrijk,1,https://immovlan.be/en/detail/residence/for-sale/8500/kortrijk/rbt02313
kortrijk,1,https://immovlan.be/en/detail/residence/for-sale/8500/kortrijk/rbt71765
kortrijk,1,https://immovlan.be/en/detail/residence/for-sale/8500/kortrijk/rbt72084
kortrijk,1,https://immovlan.be/en/detail/residence/for-sale/8500/kortrijk/rbt72112
kortrijk,1,https://immovlan.be/en/detail/residence/for-sale/8500/kortrijk/rbt72244
kortrijk,1,https://immovlan.be/en/detail/residence/for-sale/8501/heule/rbt69876
kortrijk,1,https://immovlan.be/en/detail/residence/for-sale/8510/marke/rbt71972
kortrijk,1,https://immovlan.be/en/detail/residence/for-sale/8511/aalbeke/rbt68813
kortrijk,1,https://immovlan.be/en/detail/villa/for-sale/8510/marke/rbt69856
kortrijk,1,https://immovlan.be/en/detail/villa/for-sale/8510/marke/vbc89575
kortrijk,1,https://immovlan.be/en/detail/villa/for-sale/8510/rollegem/rbt71054
