town,page,url
oostende,1,https://immovlan.be/en/detail/apartment/for-sale/8400/oostende/rbt69141
oostende,1,https://immovlan.be/en/detail/apartment/for-sale/8400/oostende/rbt69717
oostende,1,https://immovlan.be/en/detail/apartment/for-sale/8400/oostende/rbt71582
oostende,1,https://immovlan.be/en/detail/apartment/for-sale/8400/oostende/rbt71767
oostende,1,https://immovlan.be/en/detail/apartment/for-sale/8400/oostende/rbt72042
oostende,1,https://immovlan.be/en/detail/apartment/for-sale/8400/oostende/rbt72079
oostende,1,https://immovlan.be/en/detail/apartment/for-sale/8400/oostende/rbt72273
oostende,1,https://immovlan.be/en/detail/apartment/for-sale/8400/oostende/rbt72275
oostende,1,https://immovlan.be/en/detail/apartment/for-sale/8400/oostende/rbt72276
oostende,1,https://immovlan.be/en/detail/apartment/for-sale/8400/oostende/rbt72278
oostende,1,https://immovlan.be/en/detail/apartment/for-sale/8400/oostende/rbt72284
oostende,1,https://immovlan.be/en/detail/apartment/for-sale/8400/oostende/rbt72365
oostende,1,https://immovlan.be/en/detail/apartment/for-sale/8400/oostende/rbt72366
oostende,1,https://immovlan.be/en/detail/apartment/for-sale/8400/oostende/rbt72367
oostende,1,https://immovlan.be/en/detail/residence/for-sale/8400/oostende/rbt72279
oostende,1,https://immovlan.be/en/detail/residence/for-sale/8400/oostende/rwc39920
oostende,2,https://immovlan.be/en/detail/apartment/for-sale/8400/oostende/rbt65393
oostende,2,https://immovlan.be/en/detail/apartment/for-sale/8400/oostende/rbt66558
oostende,2,https://immovlan.be/en/detail/apartment/for-sale/8400/oostende/rbt66559
oostende,2,https://immovlan.be/en/detail/apartment/for-sale/8400/oostende/rbt66945
oostende,2,https://immovlan.be/en/detail/apartment/for-sale/8400/oostende/rbt67181
oostende,2,https://immovlan.be/en/detail/apartment/for-sale/8400/oostende/rbt67257
oostende,2,https://immovlan.be/en/detail/apartment/for-sale/8400/oostende/rbt68449
oostende,2,https://immovlan.be/en/detail/apartment/for-sale/8400/oostende/rbt68513
oostende,2,https://immovlan.be/en/detail/apartment/for-sale/8400/oostende/rbt69030
oostende,2,https://immovlan.be/en/detail/apartment/for-sale/8400/oostende/rbt69107
oostende,2,https://immovlan.be/en/detail/apartment/for-sale/8400/oostende/rwc39894
