town,page,url
soignies,3,https://immovlan.be/en/detail/apartment/for-sale/7060/horrues/vbc30404
soignies,3,https://immovlan.be/en/detail/apartment/for-sale/7060/soignies/vaz70096
soignies,3,https://immovlan.be/en/detail/apartment/for-sale/7060/soignies/vba82645
soignies,3,https://immovlan.be/en/detail/apartment/for-sale/7060/soignies/vbb11976
soignies,3,https://immovlan.be/en/detail/apartment/for-sale/7060/soignies/vbb69923
soignies,3,https://immovlan.be/en/detail/duplex/for-sale/7060/horrues/vbb82658
soignies,3,https://immovlan.be/en/detail/master-house/for-sale/7060/soignies/vbc40763
soignies,3,https://immovlan.be/en/detail/mixed-building/for-sale/7060/soignies/vba98012
soignies,3,https://immovlan.be/en/detail/residence/for-sale/7060/horrues/vwd11762
soignies,3,https://immovlan.be/en/detail/residence/for-sale/7060/soignies/vbb82660
soignies,3,https://immovlan.be/en/detail/residence/for-sale/7062/naast/vbc05573
soignies,3,https://immovlan.be/en/detail/residence/for-sale/7063/neufvilles/vbb89847
soignies,3,https://immovlan.be/en/detail/villa/for-sale/7060/soignies/vbb82656
soignies,3,https://immovlan.be/en/detail/villa/for-sale/7060/soignies/vbb94319
soignies,3,https://immovlan.be/en/detail/villa/for-sale/7061/casteau/vbb89845
