town,page,url
verviers,5,https://immovlan.be/en/detail/apartment/for-sale/4800/verviers/vbc43607
verviers,5,https://immovlan.be/en/detail/apartment/for-sale/4800/verviers/vbc51523
verviers,5,https://immovlan.be/en/detail/apartment/for-sale/4800/verviers/vbc51924
verviers,5,https://immovlan.be/en/detail/apartment/for-sale/4800/verviers/vbc52172
verviers,5,https://immovlan.be/en/detail/duplex/for-sale/4801/stembert/vbc52342
verviers,5,https://immovlan.be/en/detail/ground-floor/for-sale/4800/verviers/vbc04700
verviers,5,https://immovlan.be/en/detail/mansion/for-sale/4800/verviers/vbc50486
verviers,5,https://immovlan.be/en/detail/master-house/for-sale/4802/heusy/vbc50520
verviers,5,https://immovlan.be/en/detail/mixed-building/for-sale/4800/verviers/vbc49449
verviers,5,https://immovlan.be/en/detail/mixed-building/for-sale/4802/heusy/vbc55869
verviers,5,https://immovlan.be/en/detail/residence/for-sale/4800/ensival/vbc44092
verviers,5,https://immovlan.be/en/detail/residence/for-sale/4800/lambermont/vbc42841
verviers,5,https://immovlan.be/en/detail/residence/for-sale/4800/lambermont/vbc52807
verviers,5,https://immovlan.be/en/detail/residence/for-sale/4800/verviers/vbb96477
verviers,5,https://immovlan.be/en/detail/residence/for-sale/4800/verviers/vbc45132
verviers,5,https://immovlan.be/en/detail/residence/for-sale/4800/verviers/vbc47754
verviers,5,https://immovlan.be/en/detail/residence/for-sale/4800/verviers/vbc55096
verviers,5,https://immovlan.be/en/detail/residence/for-sale/4800/verviers/vbc55761
verviers,5,https://immovlan.be/en/detail/residence/for-sale/4801/stembert/vbc45517
verviers,5,https://immovlan.be/en/detail/residence/for-sale/4802/heusy/vbc51762
