town,page,url
walcourt,2,https://immovlan.be/en/detail/cottage/for-sale/5650/vogenee/vbc35678
walcourt,2,https://immovlan.be/en/detail/duplex/for-sale/5650/fraire/vbc79367
walcourt,2,https://immovlan.be/en/detail/duplex/for-sale/5651/thy-le-chateau/vbc58930
walcourt,2,https://immovlan.be/en/detail/residence/for-sale/5650/clermont/vbc51414
walcourt,2,https://immovlan.be/en/detail/residence/for-sale/5650/fraire/vwd13115
walcourt,2,https://immovlan.be/en/detail/residence/for-sale/5650/walcourt/vbc29205
walcourt,2,https://immovlan.be/en/detail/residence/for-sale/5650/walcourt/vbc73874
walcourt,2,https://immovlan.be/en/detail/residence/for-sale/5650/walcourt/vbc77288
walcourt,2,https://immovlan.be/en/detail/residence/for-sale/5650/yves-gomezee/vbc51062
walcourt,2,https://immovlan.be/en/detail/residence/for-sale/5650/yves-gomezee/vbc52296
walcourt,2,https://immovlan.be/en/detail/residence/for-sale/5651/berzee/vbc66318
walcourt,2,https://immovlan.be/en/detail/residence/for-sale/5651/laneffe/vbc33802
walcourt,2,https://immovlan.be/en/detail/residence/for-sale/5651/laneffe/vbc80905
walcourt,2,https://immovlan.be/en/detail/residence/for-sale/5651/somzee/vbc62263
walcourt,2,https://immovlan.be/en/detail/residence/for-sale/5651/somzee/vbc74382
walcourt,2,https://immovlan.be/en/detail/residence/for-sale/5651/tarcienne/vbc73598
walcourt,2,https://immovlan.be/en/detail/residence/for-sale/5651/thy-le-chateau/vbc40920
walcourt,2,https://immovlan.be/en/detail/villa/for-sale/5650/fraire/vbc74343
walcourt,2,https://immovlan.be/en/detail/villa/for-sale/5651/berzee/vbc72923
walcourt,2,https://immovlan.be/en/detail/villa/for-sale/5651/tarcienne/vbc56886
