town,page,url
wavre,3,https://immovlan.be/en/detail/apartment/for-sale/1300/wavre/vbc81117
wavre,3,https://immovlan.be/en/detail/apartment/for-sale/1300/wavre/vbc83264
wavre,3,https://immovlan.be/en/detail/apartment/for-sale/1300/wavre/vbc83271
wavre,3,https://immovlan.be/en/detail/apartment/for-sale/1300/wavre/vbc83272
wavre,3,https://immovlan.be/en/detail/apartment/for-sale/1300/wavre/vbc83273
wavre,3,https://immovlan.be/en/detail/apartment/for-sale/1300/wavre/vbc83274
wavre,3,https://immovlan.be/en/detail/apartment/for-sale/1300/wavre/vbc83275
wavre,3,https://immovlan.be/en/detail/apartment/for-sale/1300/wavre/vbc83276
wavre,3,https://immovlan.be/en/detail/apartment/for-sale/1300/wavre/vbc83632
wavre,3,https://immovlan.be/en/detail/apartment/for-sale/1301/bierges/vbc83263
wavre,3,https://immovlan.be/en/detail/apartment/in-public-sale/1301/bierges/vbc77804
wavre,3,https://immovlan.be/en/detail/ground-floor/for-sale/1300/wavre/vbc83270
wavre,3,https://immovlan.be/en/detail/residence/for-sale/1300/wavre/vbc80343
wavre,3,https://immovlan.be/en/detail/residence/for-sale/1300/wavre/vbc82166
wavre,3,https://immovlan.be/en/detail/residence/for-sale/1301/bierges/vbc78536
wavre,3,https://immovlan.be/en/detail/residence/for-sale/1301/bierges/vbc79667
wavre,3,https://immovlan.be/en/detail/residence/in-public-sale/1300/wavre/vbc79818
wavre,3,https://immovlan.be/en/detail/villa/for-sale/1300/wavre/vwd12567
wavre,3,https://immovlan.be/en/detail/villa/for-sale/1300/wavre/vwd13233
wavre,3,https://immovlan.be/en/detail/villa/for-sale/1300/wavre/vwd13506
