town,page,url
aubange,2,https://immovlan.be/en/detail/apartment/for-sale/6790/aubange/vbc28114
aubange,2,https://immovlan.be/en/detail/apartment/for-sale/6790/aubange/vbc50162
aubange,2,https://immovlan.be/en/detail/apartment/for-sale/6791/athus/vbb26173
aubange,2,https://immovlan.be/en/detail/apartment/for-sale/6791/athus/vbb26174
aubange,2,https://immovlan.be/en/detail/apartment/for-sale/6791/athus/vbc45705
aubange,2,https://immovlan.be/en/detail/residence/for-sale/6791/athus/vbc04863
aubange,2,https://immovlan.be/en/detail/residence/for-sale/6791/athus/vbc27140
aubange,2,https://immovlan.be/en/detail/residence/for-sale/6791/athus/vbc53575
aubange,2,https://immovlan.be/en/detail/residence/for-sale/6791/athus/vbc60489
aubange,2,https://immovlan.be/en/detail/residence/for-sale/6792/halanzy/vbc14758
