town,page,url
bree,2,https://immovlan.be/en/detail/apartment/for-sale/3960/bree/rbr30823
bree,2,https://immovlan.be/en/detail/apartment/for-sale/3960/bree/rbs13005
bree,2,https://immovlan.be/en/detail/apartment/for-sale/3960/bree/rbs58446
bree,2,https://immovlan.be/en/detail/cottage/for-sale/3960/bree/rbs95925
bree,2,https://immovlan.be/en/detail/cottage/for-sale/3960/bree/rbs95954
bree,2,https://immovlan.be/en/detail/residence/for-sale/3960/bree/rbr72791
bree,2,https://immovlan.be/en/detail/residence/for-sale/3960/bree/rbr72792
bree,2,https://immovlan.be/en/detail/residence/for-sale/3960/bree/rbs13006
bree,2,https://immovlan.be/en/detail/residence/for-sale/3960/bree/rbs38119
bree,2,https://immovlan.be/en/detail/residence/for-sale/3960/bree/rbs57452
bree,2,https://immovlan.be/en/detail/residence/for-sale/3960/bree/rbt04794
bree,2,https://immovlan.be/en/detail/residence/for-sale/3960/bree/rbt04795
bree,2,https://immovlan.be/en/detail/residence/for-sale/3960/bree/rbt04796
