town,page,url
brugge,16,https://immovlan.be/en/detail/apartment/for-sale/8000/brugge/rbo87611
brugge,16,https://immovlan.be/en/detail/apartment/for-sale/8000/brugge/rbr91762
brugge,16,https://immovlan.be/en/detail/apartment/for-sale/8000/brugge/rbr95797
brugge,16,https://immovlan.be/en/detail/apartment/for-sale/8000/brugge/rbs06915
brugge,16,https://immovlan.be/en/detail/apartment/for-sale/8200/sint-andries/rbq22223
brugge,16,https://immovlan.be/en/detail/apartment/for-sale/8200/sint-andries/rbs01552
brugge,16,https://immovlan.be/en/detail/apartment/for-sale/8200/sint-andries/rbs01554
brugge,16,https://immovlan.be/en/detail/apartment/for-sale/8200/sint-michiels/rbr99039
brugge,16,https://immovlan.be/en/detail/apartment/for-sale/8310/sint-kruis/rbr59222
brugge,16,https://immovlan.be/en/detail/apartment/for-sale/8380/zeebrugge/rbq83347
brugge,16,https://immovlan.be/en/detail/apartment/for-sale/8380/zeebrugge/rbr79313
brugge,16,https://immovlan.be/en/detail/apartment/for-sale/8380/zeebrugge/rbr93131
brugge,16,https://immovlan.be/en/detail/duplex/for-sale/8310/assebroek/rbp53181
brugge,16,https://immovlan.be/en/detail/residence/for-sale/8000/brugge/rbq10431
brugge,16,https://immovlan.be/en/detail/residence/for-sale/8000/brugge/rbs00501
brugge,16,https://immovlan.be/en/detail/residence/for-sale/8200/sint-michiels/rbr82241
brugge,16,https://immovlan.be/en/detail/residence/for-sale/8310/assebroek/rbp12832
brugge,16,https://immovlan.be/en/detail/residence/for-sale/8310/assebroek/rbq34599
brugge,16,https://immovlan.be/en/detail/residence/for-sale/8310/assebroek/rbr67685
brugge,16,https://immovlan.be/en/detail/residence/for-sale/8380/zeebrugge/rbr47883
