town,page,url
brussel,1,https://immovlan.be/en/detail/apartment/for-sale/1000/brussels/vbc89261
brussel,1,https://immovlan.be/en/detail/duplex/for-sale/1000/brussels/vbc89694
brussel,1,https://immovlan.be/en/detail/residence/for-sale/1000/brussels/vbc87245
brussel,2,https://immovlan.be/en/detail/apartment/for-sale/1000/brussels/vbc90875
brussel,2,https://immovlan.be/en/detail/apartment/for-sale/1000/brussels/vbc91284
brussel,2,https://immovlan.be/en/detail/apartment/for-sale/1000/brussels/vbc91285
brussel,2,https://immovlan.be/en/detail/apartment/for-sale/1000/brussels/vbc91334
brussel,2,https://immovlan.be/en/detail/apartment/for-sale/1020/laken/rbt71999
brussel,2,https://immovlan.be/en/detail/apartment/for-sale/1020/laken/rbt72000
brussel,2,https://immovlan.be/en/detail/apartment/for-sale/1020/laken/vbc90884
brussel,2,https://immovlan.be/en/detail/apartment/for-sale/1020/laken/vbc90885
brussel,2,https://immovlan.be/en/detail/duplex/for-sale/1020/laken/vbc91228
brussel,2,https://immovlan.be/en/detail/duplex/for-sale/1020/laken/vbc91314
brussel,2,https://immovlan.be/en/detail/duplex/for-sale/1020/laken/vbc91315
brussel,2,https://immovlan.be/en/detail/ground-floor/for-sale/1020/laken/vbc91325
brussel,2,https://immovlan.be/en/detail/mixed-building/for-sale/1000/brussels/vbc91049
brussel,2,https://immovlan.be/en/detail/penthouse/for-sale/1020/laken/rbt72005
brussel,2,https://immovlan.be/en/detail/penthouse/for-sale/1020/laken/vbc91365
brussel,2,https://immovlan.be/en/detail/residence/for-sale/1000/brussels/vbc91080
brussel,2,https://immovlan.be/en/detail/residence/for-sale/1000/brussels/vbc91207
brussel,2,https://immovlan.be/en/detail/residence/for-sale/1000/brussels/vbc91328
brussel,2,https://immovlan.be/en/detail/residence/for-sale/1020/laken/vbc90888
brussel,3,https://immovlan.be/en/detail/apartment/for-sale/1000/brussels/rbt71689
brussel,3,https://immovlan.be/en/detail/apartment/for-sale/1000/brussels/rbt71690
brussel,3,https://immovlan.be/en/detail/apartment/for-sale/1000/brussels/rbt71786
brussel,3,https://immovlan.be/en/detail/apartment/for-sale/1000/brussels/rbt71787
brussel,3,https://immovlan.be/en/detail/apartment/for-sale/1000/brussels/rbt71788
brussel,3,https://immovlan.be/en/detail/apartment/for-sale/1000/brussels/vbc89982
brussel,3,https://immovlan.be/en/detail/apartment/for-sale/1000/brussels/vbc89983
brussel,3,https://immovlan.be/en/detail/apartment/for-sale/1000/brussels/vbc89984
brussel,3,https://immovlan.be/en/detail/apartment/for-sale/1000/brussels/vbc89985
brussel,3,https://immovlan.be/en/detail/apartment/for-sale/1000/brussels/vbc90640
brussel,3,https://immovlan.be/en/detail/apartment/for-sale/1000/brussels/vbc90641
brussel,3,https://immovlan.be/en/detail/apartment/for-sale/1000/brussels/vbc90698
