town,page,url
charleroi,1,https://immovlan.be/en/detail/apartment/for-sale/6000/charleroi/vbc87000
charleroi,1,https://immovlan.be/en/detail/apartment/for-sale/6000/charleroi/vbc90671
charleroi,1,https://immovlan.be/en/detail/mixed-building/for-sale/6040/jumet/vbc90774
charleroi,1,https://immovlan.be/en/detail/mixed-building/for-sale/6060/gilly/vbc90955
charleroi,1,https://immovlan.be/en/detail/mixed-building/for-sale/6061/montignies-sur-sambre/vbc91238
charleroi,1,https://immovlan.be/en/detail/residence/for-sale/6000/charleroi/vbc89510
charleroi,1,https://immovlan.be/en/detail/residence/for-sale/6001/marcinelle/vbc87318
charleroi,1,https://immovlan.be/en/detail/residence/for-sale/6001/marcinelle/vbc89444
charleroi,1,https://immovlan.be/en/detail/residence/for-sale/6001/marcinelle/vbc90749
charleroi,1,https://immovlan.be/en/detail/residence/for-sale/6001/marcinelle/vbc91172
charleroi,1,https://immovlan.be/en/detail/residence/for-sale/6001/marcinelle/vbc91174
charleroi,1,https://immovlan.be/en/detail/residence/for-sale/6010/couillet/vbc75085
charleroi,1,https://immovlan.be/en/detail/residence/for-sale/6020/dampremy/vbc90794
charleroi,1,https://immovlan.be/en/detail/residence/for-sale/6030/marchienne-au-pont/vbc91245
charleroi,1,https://immovlan.be/en/detail/residence/for-sale/6040/jumet/vbc90779
charleroi,1,https://immovlan.be/en/detail/residence/for-sale/6043/ransart/vbc89441
charleroi,1,https://immovlan.be/en/detail/residence/for-sale/6044/roux/vbc90681
charleroi,1,https://immovlan.be/en/detail/residence/for-sale/6060/gilly/vbc91062
charleroi,1,https://immovlan.be/en/detail/residence/for-sale/6061/montignies-sur-sambre/vbc91244
charleroi,1,https://immovlan.be/en/detail/villa/for-sale/6010/couillet/vbc88786
charleroi,2,https://immovlan.be/en/detail/apartment/for-sale/6000/charleroi/vbc89839
charleroi,2,https://immovlan.be/en/detail/apartment/for-sale/6000/charleroi/vbc90128
charleroi,2,https://immovlan.be/en/detail/apartment/for-sale/6001/marcinelle/vbc90075
charleroi,2,https://immovlan.be/en/detail/residence/for-sale/6001/marcinelle/vbc89365
charleroi,2,https://immovlan.be/en/detail/residence/for-sale/6001/marcinelle/vbc89443
charleroi,2,https://immovlan.be/en/detail/residence/for-sale/6001/marcinelle/vwd13903
charleroi,2,https://immovlan.be/en/detail/residence/for-sale/6010/couillet/vbc89507
charleroi,2,https://immovlan.be/en/detail/residence/for-sale/6020/dampremy/vbc89838
charleroi,2,https://immovlan.be/en/detail/residence/for-sale/6030/marchienne-au-pont/vbc89398
charleroi,2,https://immovlan.be/en/detail/residence/for-sale/6032/mont-sur-marchienne/vbc89519
charleroi,2,https://immovlan.be/en/detail/residence/for-sale/6040/jumet/vbc89567
charleroi,2,https://immovlan.be/en/detail/residence/for-sale/6043/ransart/vbc89951
charleroi,2,https://immovlan.be/en/detail/residence/for-sale/6044/roux/vbc89553
charleroi,2,https://immovlan.be/en/detail/residence/for-sale/6060/gilly/vbc89817
charleroi,2,https://immovlan.be/en/detail/residence/for-sale/6060/gilly/vbc90176
charleroi,2,https://immovlan.be/en/detail/residence/for-sale/6060/gilly/vbc90210
charleroi,2,https://immovlan.be/en/detail/residence/for-sale/6061/montignies-sur-sambre/vbc89445
charleroi,2,https://immovlan.be/en/detail/residence/for-sale/6061/montignies-sur-sambre/vbc89906
charleroi,2,https://immovlan.be/en/detail/residence/for-sale/6061/montignies-sur-sambre/vbc89957
charleroi,2,https://immovlan.be/en/detail/residence/for-sale/6061/montignies-sur-sambre/vbc90245
charleroi,3,https://immovlan.be/en/detail/apartment/for-sale/6000/charleroi/vbc87554
charleroi,3,https://immovlan.be/en/detail/apartment/for-sale/6000/charleroi/vbc89167
charleroi,3,https://immovlan.be/en/detail/apartment/for-sale/6032/mont-sur-marchienne/vbc87958
charleroi,3,https://immovlan.be/en/detail/apartment/for-sale/6041/gosselies/vbc88397
charleroi,3,https://immovlan.be/en/detail/apartment/for-sale/6061/montignies-sur-sambre/vbc87842
charleroi,3,https://immovlan.be/en/detail/duplex/for-sale/6041/gosselies/vbc88232
charleroi,3,https://immovlan.be/en/detail/ground-floor/for-sale/6001/marcinelle/vbc89247
charleroi,3,https://immovlan.be/en/detail/master-house/for-sale/6030/marchienne-au-pont/vwd13805
charleroi,3,https://immovlan.be/en/detail/residence/for-sale/6001/marcinelle/vbc88770
charleroi,3,https://immovlan.be/en/detail/residence/for-sale/6010/couillet/vbc87887
charleroi,3,https://immovlan.be/en/detail/residence/for-sale/6010/couillet/vbc88212
charleroi,3,https://immovlan.be/en/detail/residence/for-sale/6030/marchienne-au-pont/vbc88483
charleroi,3,https://immovlan.be/en/detail/residence/for-sale/6030/marchienne-au-pont/vbc88953
charleroi,3,https://immovlan.be/en/detail/residence/for-sale/6040/jumet/vbc86980
charleroi,3,https://immovlan.be/en/detail/residence/for-sale/6040/jumet/vbc87847
charleroi,3,https://immovlan.be/en/detail/residence/for-sale/6040/jumet/vbc89150
charleroi,3,https://immovlan.be/en/detail/residence/for-sale/6041/gosselies/vbc86988
charleroi,3,https://immovlan.be/en/detail/residence/for-sale/6043/ransart/vbc87892
charleroi,3,https://immovlan.be/en/detail/residence/for-sale/6060/gilly/vbc87140
charleroi,3,https://immovlan.be/en/detail/residence/in-public-sale/6043/ransart/vbc87298
charleroi,4,https://immovlan.be/en/detail/apartment/for-sale/6000/charleroi/vbc84264
charleroi,4,https://immovlan.be/en/detail/apartment/for-sale/6000/charleroi/vbc86747
charleroi,4,https://immovlan.be/en/detail/apartment/for-sale/6000/charleroi/vwd13706
charleroi,4,https://immovlan.be/en/detail/apartment/for-sale/6030/marchienne-au-pont/vwd13724
charleroi,4,https://immovlan.be/en/detail/apartment/for-sale/6032/mont-sur-marchienne/vbc76224
charleroi,4,https://immovlan.be/en/detail/apartment/for-sale/6041/gosselies/vwd13758
charleroi,4,https://immovlan.be/en/detail/mixed-building/for-sale/6000/charleroi/vbc84099
charleroi,4,https://immovlan.be/en/detail/residence/for-sale/6000/charleroi/vbc31986
charleroi,4,https://immovlan.be/en/detail/residence/for-sale/6001/marcinelle/vbc84030
charleroi,4,https://immovlan.be/en/detail/residence/for-sale/6010/couillet/vbc52285
charleroi,4,https://immovlan.be/en/detail/residence/for-sale/6010/couillet/vbc85523
charleroi,4,https://immovlan.be/en/detail/residence/for-sale/6020/dampremy/vbc83998
charleroi,4,https://immovlan.be/en/detail/residence/for-sale/6020/dampremy/vbc85970
charleroi,4,https://immovlan.be/en/detail/residence/for-sale/6031/monceau-sur-sambre/vwd13760
charleroi,4,https://immovlan.be/en/detail/residence/for-sale/6032/mont-sur-marchienne/vbc37827
charleroi,4,https://immovlan.be/en/detail/residence/for-sale/6043/ransart/vbc71435
charleroi,4,https://immovlan.be/en/detail/residence/for-sale/6044/roux/vbc84116
charleroi,4,https://immovlan.be/en/detail/residence/for-sale/6060/gilly/vbc77635
charleroi,4,https://immovlan.be/en/detail/residence/for-sale/6060/gilly/vbc85287
charleroi,4,https://immovlan.be/en/detail/villa/for-sale/6031/monceau-sur-sambre/vbc84524
charleroi,5,https://immovlan.be/en/detail/apartment/for-sale/6000/charleroi/vbc80291
charleroi,5,https://immovlan.be/en/detail/apartment/for-sale/6000/charleroi/vbc80292
charleroi,5,https://immovlan.be/en/detail/apartment/for-sale/6000/charleroi/vbc82925
charleroi,5,https://immovlan.be/en/detail/mixed-building/for-sale/6001/marcinelle/vbc80410
charleroi,5,https://immovlan.be/en/detail/residence/for-sale/6000/charleroi/vbc83582
charleroi,5,https://immovlan.be/en/detail/residence/for-sale/6000/charleroi/vbc83584
charleroi,5,https://immovlan.be/en/detail/residence/for-sale/6001/marcinelle/vbc80214
charleroi,5,https://immovlan.be/en/detail/residence/for-sale/6010/couillet/vbc51320
charleroi,5,https://immovlan.be/en/detail/residence/for-sale/6020/dampremy/vbc81180
charleroi,5,https://immovlan.be/en/detail/residence/for-sale/6030/goutroux/vbc83577
charleroi,5,https://immovlan.be/en/detail/residence/for-sale/6030/marchienne-au-pont/vbc83575
charleroi,5,https://immovlan.be/en/detail/residence/for-sale/6031/monceau-sur-sambre/vbc83583
charleroi,5,https://immovlan.be/en/detail/residence/for-sale/6032/mont-sur-marchienne/vbc82535
charleroi,5,https://immovlan.be/en/detail/residence/for-sale/6040/jumet/vbc80396
charleroi,5,https://immovlan.be/en/detail/residence/for-sale/6040/jumet/vbc81139
charleroi,5,https://immovlan.be/en/detail/residence/for-sale/6040/jumet/vbc83934
charleroi,5,https://immovlan.be/en/detail/residence/for-sale/6044/roux/vbc83706
charleroi,5,https://immovlan.be/en/detail/residence/for-sale/6044/roux/vwd13578
charleroi,5,https://immovlan.be/en/detail/residence/for-sale/6060/gilly/vbc80327
charleroi,5,https://immovlan.be/en/detail/villa/for-sale/6032/mont-sur-marchienne/vbc80264
charleroi,6,https://immovlan.be/en/detail/apartment/for-sale/6000/charleroi/vbc66249
charleroi,6,https://immovlan.be/en/detail/apartment/for-sale/6000/charleroi/vbc72944
charleroi,6,https://immovlan.be/en/detail/apartment/for-sale/6000/charleroi/vbc75411
charleroi,6,https://immovlan.be/en/detail/apartment/for-sale/6000/charleroi/vbc77745
charleroi,6,https://immovlan.be/en/detail/apartment/for-sale/6001/marcinelle/vbc73013
charleroi,6,https://immovlan.be/en/detail/apartment/for-sale/6001/marcinelle/vbc76347
charleroi,6,https://immovlan.be/en/detail/apartment/for-sale/6001/marcinelle/vwd12509
charleroi,6,https://immovlan.be/en/detail/apartment/for-sale/6043/ransart/vbc76459
charleroi,6,https://immovlan.be/en/detail/apartment/for-sale/6061/montignies-sur-sambre/vbc73579
charleroi,6,https://immovlan.be/en/detail/mixed-building/for-sale/6000/charleroi/vwd13499
charleroi,6,https://immovlan.be/en/detail/residence/for-sale/6020/dampremy/vbc72739
charleroi,6,https://immovlan.be/en/detail/residence/for-sale/6031/monceau-sur-sambre/vbc75549
charleroi,6,https://immovlan.be/en/detail/residence/for-sale/6032/mont-sur-marchienne/vbc75415
charleroi,6,https://immovlan.be/en/detail/residence/for-sale/6032/mont-sur-marchienne/vbc76348
charleroi,6,https://immovlan.be/en/detail/residence/for-sale/6040/jumet/vbc75053
charleroi,6,https://immovlan.be/en/detail/residence/for-sale/6040/jumet/vbc75767
charleroi,6,https://immovlan.be/en/detail/residence/for-sale/6041/gosselies/vbc73851
charleroi,6,https://immovlan.be/en/detail/residence/for-sale/6041/gosselies/vwd13509
charleroi,6,https://immovlan.be/en/detail/residence/for-sale/6044/roux/vbc73983
charleroi,6,https://immovlan.be/en/detail/residence/for-sale/6061/montignies-sur-sambre/vbc79067
charleroi,7,https://immovlan.be/en/detail/duplex/for-sale/6032/mont-sur-marchienne/vbc67857
charleroi,7,https://immovlan.be/en/detail/duplex/for-sale/6032/mont-sur-marchienne/vbc68092
charleroi,7,https://immovlan.be/en/detail/master-house/for-sale/6001/marcinelle/vbc71659
charleroi,7,https://immovlan.be/en/detail/mixed-building/for-sale/6030/goutroux/vbc58408
charleroi,7,https://immovlan.be/en/detail/mixed-building/for-sale/6040/jumet/vbc60631
charleroi,7,https://immovlan.be/en/detail/mixed-building/for-sale/6040/jumet/vbc65018
charleroi,7,https://immovlan.be/en/detail/mixed-building/for-sale/6041/gosselies/vbc59572
charleroi,7,https://immovlan.be/en/detail/mixed-building/for-sale/6060/gilly/vbc53587
charleroi,7,https://immovlan.be/en/detail/residence/for-sale/6031/monceau-sur-sambre/vbc72507
charleroi,7,https://immovlan.be/en/detail/residence/for-sale/6031/monceau-sur-sambre/vwd12134
charleroi,7,https://immovlan.be/en/detail/residence/for-sale/6040/jumet/vbc68629
charleroi,7,https://immovlan.be/en/detail/residence/for-sale/6040/jumet/vbc70938
charleroi,7,https://immovlan.be/en/detail/residence/for-sale/6040/jumet/vbc71348
charleroi,7,https://immovlan.be/en/detail/residence/for-sale/6041/gosselies/vbc69279
charleroi,7,https://immovlan.be/en/detail/residence/for-sale/6060/gilly/vbc27219
charleroi,7,https://immovlan.be/en/detail/residence/for-sale/6060/gilly/vbc63795
charleroi,7,https://immovlan.be/en/detail/residence/for-sale/6060/gilly/vbc71740
charleroi,7,https://immovlan.be/en/detail/residence/for-sale/6060/gilly/vwd12849
charleroi,7,https://immovlan.be/en/detail/residence/for-sale/6061/montignies-sur-sambre/vbc69868
charleroi,7,https://immovlan.be/en/detail/studio/for-sale/6000/charleroi/vbc58455
