town,page,url
dinant,1,https://immovlan.be/en/detail/apartment/for-sale/5500/dinant/vay96823
dinant,1,https://immovlan.be/en/detail/apartment/for-sale/5500/dinant/vbc82692
dinant,1,https://immovlan.be/en/detail/apartment/for-sale/5500/dinant/vbc87410
dinant,1,https://immovlan.be/en/detail/apartment/for-sale/5500/dinant/vbc87467
dinant,1,https://immovlan.be/en/detail/apartment/for-sale/5500/dinant/vbc87483
dinant,1,https://immovlan.be/en/detail/apartment/for-sale/5503/sorinnes/vbc85437
dinant,1,https://immovlan.be/en/detail/duplex/for-sale/5500/dinant/vbc87468
dinant,1,https://immovlan.be/en/detail/duplex/for-sale/5500/dinant/vbc87484
dinant,1,https://immovlan.be/en/detail/residence/for-sale/5500/dinant/vbc53156
dinant,1,https://immovlan.be/en/detail/residence/for-sale/5500/dinant/vbc82564
dinant,1,https://immovlan.be/en/detail/residence/for-sale/5500/dinant/vbc82895
dinant,1,https://immovlan.be/en/detail/residence/for-sale/5500/dinant/vbc86712
dinant,1,https://immovlan.be/en/detail/residence/for-sale/5500/dinant/vbc88681
dinant,1,https://immovlan.be/en/detail/residence/for-sale/5500/dinant/vbc90636
dinant,1,https://immovlan.be/en/detail/residence/for-sale/5500/falmagne/vbc88682
dinant,1,https://immovlan.be/en/detail/residence/for-sale/5501/lisogne/vbc51747
dinant,1,https://immovlan.be/en/detail/villa/for-sale/5500/dinant/vbc88742
dinant,1,https://immovlan.be/en/detail/villa/for-sale/5500/dinant/vbc89859
dinant,1,https://immovlan.be/en/detail/villa/for-sale/5500/dinant/vbc90007
