town,page,url
hannut,2,https://immovlan.be/en/detail/apartment/for-sale/4280/hannut/vbb77171
hannut,2,https://immovlan.be/en/detail/apartment/for-sale/4280/hannut/vbb87485
hannut,2,https://immovlan.be/en/detail/apartment/for-sale/4280/hannut/vbc38794
hannut,2,https://immovlan.be/en/detail/apartment/for-sale/4280/hannut/vbc40588
hannut,2,https://immovlan.be/en/detail/apartment/for-sale/4280/hannut/vbc40871
hannut,2,https://immovlan.be/en/detail/apartment/for-sale/4280/hannut/vwd11427
hannut,2,https://immovlan.be/en/detail/apartment/for-sale/4280/hannut/vwd12770
hannut,2,https://immovlan.be/en/detail/residence/for-sale/4280/grand-hallet/vbc61360
hannut,2,https://immovlan.be/en/detail/residence/for-sale/4280/hannut/rbs62834
hannut,2,https://immovlan.be/en/detail/residence/for-sale/4280/hannut/vbb96365
hannut,2,https://immovlan.be/en/detail/residence/for-sale/4280/hannut/vbc20158
hannut,2,https://immovlan.be/en/detail/residence/for-sale/4280/hannut/vbc29188
hannut,2,https://immovlan.be/en/detail/residence/for-sale/4280/hannut/vbc44289
hannut,2,https://immovlan.be/en/detail/residence/for-sale/4280/hannut/vbc61851
hannut,2,https://immovlan.be/en/detail/residence/for-sale/4280/hannut/vbc65443
hannut,2,https://immovlan.be/en/detail/residence/for-sale/4280/hannut/vwd10974
hannut,2,https://immovlan.be/en/detail/residence/for-sale/4280/poucet/vwd13171
hannut,2,https://immovlan.be/en/detail/villa/for-sale/4280/hannut/vbc43444
hannut,2,https://immovlan.be/en/detail/villa/for-sale/4280/hannut/vbc59762
hannut,2,https://immovlan.be/en/detail/villa/for-sale/4280/thisnes/vwd12611
