town,page,url
huy,4,https://immovlan.be/en/detail/apartment/for-sale/4500/huy/vbc45611
huy,4,https://immovlan.be/en/detail/apartment/for-sale/4500/huy/vbc45612
huy,4,https://immovlan.be/en/detail/apartment/for-sale/4500/huy/vbc45613
huy,4,https://immovlan.be/en/detail/apartment/for-sale/4500/huy/vbc45614
huy,4,https://immovlan.be/en/detail/apartment/for-sale/4500/huy/vbc51383
huy,4,https://immovlan.be/en/detail/apartment/for-sale/4500/huy/vbc54235
huy,4,https://immovlan.be/en/detail/apartment/for-sale/4500/huy/vbc57496
huy,4,https://immovlan.be/en/detail/duplex/for-sale/4500/huy/vbc54748
huy,4,https://immovlan.be/en/detail/ground-floor/for-sale/4500/huy/vbb53903
huy,4,https://immovlan.be/en/detail/ground-floor/for-sale/4500/huy/vbb53904
huy,4,https://immovlan.be/en/detail/ground-floor/for-sale/4500/huy/vbb53905
huy,4,https://immovlan.be/en/detail/ground-floor/for-sale/4500/huy/vbb53907
huy,4,https://immovlan.be/en/detail/loft/for-sale/4500/huy/vbc46305
huy,4,https://immovlan.be/en/detail/residence/for-sale/4500/ben-ahin/vbc05190
huy,4,https://immovlan.be/en/detail/residence/for-sale/4500/ben-ahin/vbc56961
huy,4,https://immovlan.be/en/detail/residence/for-sale/4500/huy/vbc45710
huy,4,https://immovlan.be/en/detail/residence/for-sale/4500/huy/vbc48479
huy,4,https://immovlan.be/en/detail/residence/for-sale/4500/huy/vbc53235
huy,4,https://immovlan.be/en/detail/residence/for-sale/4500/huy/vbc53927
huy,4,https://immovlan.be/en/detail/residence/for-sale/4500/huy/vbc57286
