town,page,url
mechelen,6,https://immovlan.be/en/detail/apartment/for-sale/2800/mechelen/rbt08157
mechelen,6,https://immovlan.be/en/detail/apartment/for-sale/2800/mechelen/rbt27237
mechelen,6,https://immovlan.be/en/detail/apartment/for-sale/2800/mechelen/rbt29870
mechelen,6,https://immovlan.be/en/detail/apartment/for-sale/2800/mechelen/rbt29878
mechelen,6,https://immovlan.be/en/detail/apartment/for-sale/2800/mechelen/rbt29879
mechelen,6,https://immovlan.be/en/detail/apartment/for-sale/2800/mechelen/rbt30311
mechelen,6,https://immovlan.be/en/detail/apartment/for-sale/2800/mechelen/rbt31149
mechelen,6,https://immovlan.be/en/detail/apartment/for-sale/2800/mechelen/rbt33285
mechelen,6,https://immovlan.be/en/detail/apartment/for-sale/2800/mechelen/rbt33938
mechelen,6,https://immovlan.be/en/detail/apartment/for-sale/2800/mechelen/rbt34555
mechelen,6,https://immovlan.be/en/detail/residence/for-sale/2800/mechelen/rbt29375
mechelen,6,https://immovlan.be/en/detail/residence/for-sale/2800/mechelen/rbt29376
mechelen,6,https://immovlan.be/en/detail/residence/for-sale/2800/mechelen/rbt29869
mechelen,6,https://immovlan.be/en/detail/residence/for-sale/2800/mechelen/rbt30223
mechelen,6,https://immovlan.be/en/detail/residence/for-sale/2800/mechelen/rbt30313
mechelen,6,https://immovlan.be/en/detail/residence/for-sale/2800/mechelen/rbt30839
mechelen,6,https://immovlan.be/en/detail/residence/for-sale/2800/mechelen/rbt34665
mechelen,6,https://immovlan.be/en/detail/residence/for-sale/2800/mechelen/rbt34831
mechelen,6,https://immovlan.be/en/detail/residence/for-sale/2812/muizen/rbs91309
mechelen,6,https://immovlan.be/en/detail/residence/for-sale/2812/muizen/rbt31562
