town,page,url
mons,11,https://immovlan.be/en/detail/apartment/for-sale/7000/mons/vbc11604
mons,11,https://immovlan.be/en/detail/apartment/for-sale/7000/mons/vbc28747
mons,11,https://immovlan.be/en/detail/apartment/for-sale/7030/saint-symphorien/vbc28748
mons,11,https://immovlan.be/en/detail/apartment/for-sale/7030/saint-symphorien/vbc32774
mons,11,https://immovlan.be/en/detail/apartment/for-sale/7030/saint-symphorien/vbc32775
mons,11,https://immovlan.be/en/detail/bungalow/for-sale/7000/mons/vbc13100
mons,11,https://immovlan.be/en/detail/duplex/for-sale/7000/mons/vbc29174
mons,11,https://immovlan.be/en/detail/master-house/for-sale/7012/flenu/vbc25832
mons,11,https://immovlan.be/en/detail/mixed-building/for-sale/7000/mons/vbb93028
mons,11,https://immovlan.be/en/detail/mixed-building/for-sale/7000/mons/vbb93029
mons,11,https://immovlan.be/en/detail/mixed-building/for-sale/7000/mons/vbc30843
mons,11,https://immovlan.be/en/detail/residence/for-sale/7000/mons/vbc16728
mons,11,https://immovlan.be/en/detail/residence/for-sale/7000/mons/vbc22613
mons,11,https://immovlan.be/en/detail/residence/for-sale/7000/mons/vbc25877
mons,11,https://immovlan.be/en/detail/residence/for-sale/7000/mons/vbc32704
mons,11,https://immovlan.be/en/detail/residence/for-sale/7012/flenu/vbc08416
mons,11,https://immovlan.be/en/detail/residence/for-sale/7012/jemappes/vbc22269
mons,11,https://immovlan.be/en/detail/residence/for-sale/7012/jemappes/vbc25434
mons,11,https://immovlan.be/en/detail/residence/for-sale/7012/jemappes/vbc25821
mons,11,https://immovlan.be/en/detail/villa/for-sale/7000/mons/vwd11614
