town,page,url
saint-hubert,1,https://immovlan.be/en/detail/apartment/for-sale/6870/saint-hubert/vbc70210
saint-hubert,1,https://immovlan.be/en/detail/mixed-building/for-sale/6870/saint-hubert/vbc64927
saint-hubert,1,https://immovlan.be/en/detail/mixed-building/for-sale/6870/saint-hubert/vwd05250
saint-hubert,1,https://immovlan.be/en/detail/residence/for-sale/6870/arville/vbc84385
saint-hubert,1,https://immovlan.be/en/detail/residence/for-sale/6870/hatrival/vbc58915
saint-hubert,1,https://immovlan.be/en/detail/residence/for-sale/6870/hatrival/vbc84267
saint-hubert,1,https://immovlan.be/en/detail/residence/for-sale/6870/saint-hubert/vbb80214
saint-hubert,1,https://immovlan.be/en/detail/residence/for-sale/6870/saint-hubert/vbc59697
saint-hubert,1,https://immovlan.be/en/detail/residence/for-sale/6870/saint-hubert/vbc65660
saint-hubert,1,https://immovlan.be/en/detail/residence/for-sale/6870/saint-hubert/vbc67465
saint-hubert,1,https://immovlan.be/en/detail/residence/for-sale/6870/saint-hubert/vbc70109
saint-hubert,1,https://immovlan.be/en/detail/residence/for-sale/6870/saint-hubert/vbc89151
saint-hubert,1,https://immovlan.be/en/detail/villa/for-sale/6870/saint-hubert/vwd02282
