town,page,url
soignies,1,https://immovlan.be/en/detail/apartment/for-sale/7060/soignies/vbc79860
soignies,1,https://immovlan.be/en/detail/apartment/for-sale/7060/soignies/vbc79866
soignies,1,https://immovlan.be/en/detail/apartment/for-sale/7060/soignies/vbc79867
soignies,1,https://immovlan.be/en/detail/apartment/for-sale/7060/soignies/vbc79868
soignies,1,https://immovlan.be/en/detail/apartment/for-sale/7060/soignies/vbc79869
soignies,1,https://immovlan.be/en/detail/apartment/for-sale/7060/soignies/vbc79870
soignies,1,https://immovlan.be/en/detail/apartment/for-sale/7060/soignies/vbc79871
soignies,1,https://immovlan.be/en/detail/apartment/for-sale/7060/soignies/vbc79873
soignies,1,https://immovlan.be/en/detail/apartment/for-sale/7060/soignies/vbc79874
soignies,1,https://immovlan.be/en/detail/apartment/for-sale/7060/soignies/vbc79875
soignies,1,https://immovlan.be/en/detail/apartment/for-sale/7060/soignies/vbc79876
soignies,1,https://immovlan.be/en/detail/apartment/for-sale/7060/soignies/vbc79877
soignies,1,https://immovlan.be/en/detail/apartment/for-sale/7060/soignies/vbc82878
soignies,1,https://immovlan.be/en/detail/mixed-building/for-sale/7062/naast/vwd12205
soignies,1,https://immovlan.be/en/detail/residence/for-sale/7060/soignies/vbc05784
soignies,1,https://immovlan.be/en/detail/residence/for-sale/7060/soignies/vbc86168
soignies,1,https://immovlan.be/en/detail/residence/for-sale/7060/soignies/vwd13586
soignies,1,https://immovlan.be/en/detail/residence/for-sale/7062/naast/vbc80307
soignies,1,https://immovlan.be/en/detail/studio/for-sale/7062/naast/vbc05574
