town,page,url
spa,6,https://immovlan.be/en/detail/apartment/for-sale/4000/liege/vbc87207
spa,6,https://immovlan.be/en/detail/apartment/for-sale/6200/chatelineau/vbc87313
spa,6,https://immovlan.be/en/detail/apartment/for-sale/8370/blankenberge/rbt66205
spa,6,https://immovlan.be/en/detail/apartment/for-sale/8370/blankenberge/rbt66206
spa,6,https://immovlan.be/en/detail/mixed-building/for-sale/6800/libramont-chevigny/vbc87224
spa,6,https://immovlan.be/en/detail/residence/for-sale/1000/brussels/vbc87245
spa,6,https://immovlan.be/en/detail/residence/for-sale/2300/turnhout/rbt66818
spa,6,https://immovlan.be/en/detail/residence/for-sale/2300/turnhout/rbt66819
spa,6,https://immovlan.be/en/detail/residence/for-sale/2800/mechelen/rbt66782
spa,6,https://immovlan.be/en/detail/residence/for-sale/2830/willebroek/rbt66249
spa,6,https://immovlan.be/en/detail/residence/for-sale/2840/rumst/rbt66244
spa,6,https://immovlan.be/en/detail/residence/for-sale/2860/sint-katelijne-waver/rbt66214
spa,6,https://immovlan.be/en/detail/residence/for-sale/3650/dilsen-stokkem/rbt66253
spa,6,https://immovlan.be/en/detail/residence/for-sale/6001/marcinelle/vbc87318
spa,6,https://immovlan.be/en/detail/residence/for-sale/6200/chatelet/vwd13811
spa,6,https://immovlan.be/en/detail/residence/for-sale/6800/libramont-chevigny/vbc87210
spa,6,https://immovlan.be/en/detail/residence/for-sale/9100/sint-niklaas/rbt66261
spa,6,https://immovlan.be/en/detail/villa/for-sale/3080/tervuren/vbc87332
spa,6,https://immovlan.be/en/detail/villa/for-sale/4000/liege/vbc87395
spa,6,https://immovlan.be/en/detail/villa/for-sale/7170/manage/vbc87324
