town,page,url
tongeren,2,https://immovlan.be/en/detail/apartment/for-sale/3700/tongeren/rbt38094
tongeren,2,https://immovlan.be/en/detail/apartment/for-sale/3700/tongeren/rbt38095
tongeren,2,https://immovlan.be/en/detail/apartment/for-sale/3700/tongeren/rbt39982
tongeren,2,https://immovlan.be/en/detail/apartment/for-sale/3700/tongeren/rbt44139
tongeren,2,https://immovlan.be/en/detail/ground-floor/for-sale/3700/tongeren/rwc39664
tongeren,2,https://immovlan.be/en/detail/penthouse/for-sale/3700/tongeren/rbt38092
tongeren,2,https://immovlan.be/en/detail/residence/for-sale/3700/berg/rbt38897
tongeren,2,https://immovlan.be/en/detail/residence/for-sale/3700/berg/rbt42251
tongeren,2,https://immovlan.be/en/detail/residence/for-sale/3700/berg/rbt43789
tongeren,2,https://immovlan.be/en/detail/residence/for-sale/3700/berg/rbt45496
tongeren,2,https://immovlan.be/en/detail/residence/for-sale/3700/berg/rbt45497
tongeren,2,https://immovlan.be/en/detail/residence/for-sale/3700/lauw/vbc83712
tongeren,2,https://immovlan.be/en/detail/residence/for-sale/3700/rutten/rbt44780
tongeren,2,https://immovlan.be/en/detail/residence/for-sale/3700/tongeren/rbt38344
tongeren,2,https://immovlan.be/en/detail/residence/for-sale/3700/tongeren/rbt38752
tongeren,2,https://immovlan.be/en/detail/residence/for-sale/3700/tongeren/rbt38779
tongeren,2,https://immovlan.be/en/detail/residence/for-sale/3700/tongeren/rbt39531
tongeren,2,https://immovlan.be/en/detail/residence/for-sale/3700/tongeren/rbt48036
tongeren,2,https://immovlan.be/en/detail/residence/for-sale/3700/tongeren/rbt63920
tongeren,2,https://immovlan.be/en/detail/residence/for-sale/3700/tongeren/rbt63921
