town,page,url
tournai,1,https://immovlan.be/en/detail/apartment/for-sale/7500/tournai/vbc89220
tournai,1,https://immovlan.be/en/detail/apartment/for-sale/7500/tournai/vbc89221
tournai,1,https://immovlan.be/en/detail/apartment/for-sale/7500/tournai/vbc89222
tournai,1,https://immovlan.be/en/detail/apartment/for-sale/7500/tournai/vbc89325
tournai,1,https://immovlan.be/en/detail/apartment/for-sale/7500/tournai/vbc89621
tournai,1,https://immovlan.be/en/detail/apartment/for-sale/7500/tournai/vbc90009
tournai,1,https://immovlan.be/en/detail/ground-floor/for-sale/7500/tournai/vwd13921
tournai,1,https://immovlan.be/en/detail/mixed-building/for-sale/7500/tournai/vbc88499
tournai,1,https://immovlan.be/en/detail/mixed-building/for-sale/7504/froidmont/vbc91110
tournai,1,https://immovlan.be/en/detail/residence/for-sale/7500/tournai/rbt71594
tournai,1,https://immovlan.be/en/detail/residence/for-sale/7500/tournai/vbc88669
tournai,1,https://immovlan.be/en/detail/residence/for-sale/7501/orcq/vbc88767
tournai,1,https://immovlan.be/en/detail/residence/for-sale/7520/templeuve/vbc88668
tournai,1,https://immovlan.be/en/detail/residence/for-sale/7540/kain/vbc90038
tournai,1,https://immovlan.be/en/detail/residence/for-sale/7540/kain/vbc91234
tournai,1,https://immovlan.be/en/detail/residence/for-sale/7540/rumillies/rbt71593
tournai,1,https://immovlan.be/en/detail/residence/for-sale/7542/mont-saint-aubert/vbc89364
tournai,1,https://immovlan.be/en/detail/residence/for-sale/7543/mourcourt/vbc89140
tournai,1,https://immovlan.be/en/detail/villa/for-sale/7531/havinnes/vbc89604
tournai,2,https://immovlan.be/en/detail/apartment/for-sale/7500/tournai/vbc15500
tournai,2,https://immovlan.be/en/detail/apartment/for-sale/7500/tournai/vbc81218
tournai,2,https://immovlan.be/en/detail/apartment/for-sale/7500/tournai/vbc87696
tournai,2,https://immovlan.be/en/detail/apartment/for-sale/7500/tournai/vbc88386
tournai,2,https://immovlan.be/en/detail/ground-floor/for-sale/7500/tournai/vwd09362
tournai,2,https://immovlan.be/en/detail/master-house/for-sale/7500/tournai/rbt67391
tournai,2,https://immovlan.be/en/detail/mixed-building/for-sale/7500/tournai/vbc78743
tournai,2,https://immovlan.be/en/detail/residence/for-sale/7500/tournai/rbt39264
tournai,2,https://immovlan.be/en/detail/residence/for-sale/7500/tournai/vbb25992
tournai,2,https://immovlan.be/en/detail/residence/for-sale/7500/tournai/vbc87197
tournai,2,https://immovlan.be/en/detail/residence/for-sale/7500/tournai/vbc88165
tournai,2,https://immovlan.be/en/detail/residence/for-sale/7500/tournai/vwd13802
tournai,2,https://immovlan.be/en/detail/residence/for-sale/7503/froyennes/vbc85763
tournai,2,https://immovlan.be/en/detail/residence/for-sale/7520/templeuve/vbc86929
tournai,2,https://immovlan.be/en/detail/residence/for-sale/7522/blandain/vbc87694
tournai,2,https://immovlan.be/en/detail/residence/for-sale/7540/kain/vbc51774
tournai,2,https://immovlan.be/en/detail/residence/for-sale/7543/mourcourt/vbc66699
tournai,2,https://immovlan.be/en/detail/residence/for-sale/7543/mourcourt/vbc73305
tournai,2,https://immovlan.be/en/detail/residence/for-sale/7548/warchin/vwd12373
tournai,2,https://immovlan.be/en/detail/villa/for-sale/7500/tournai/vbc65627
tournai,3,https://immovlan.be/en/detail/cottage/for-sale/7540/rumillies/rbt16278
tournai,3,https://immovlan.be/en/detail/duplex/for-sale/7500/tournai/vbc74330
tournai,3,https://immovlan.be/en/detail/ground-floor/for-sale/7500/tournai/vbb94223
tournai,3,https://immovlan.be/en/detail/mixed-building/for-sale/7500/tournai/vbb27288
tournai,3,https://immovlan.be/en/detail/mixed-building/for-sale/7500/tournai/vbc01654
tournai,3,https://immovlan.be/en/detail/residence/for-sale/7530/gaurain-ramecroix/vbc45587
tournai,4,https://immovlan.be/en/detail/apartment/for-sale/7500/tournai/vbc74147
tournai,4,https://immovlan.be/en/detail/apartment/for-sale/7500/tournai/vbc84963
tournai,4,https://immovlan.be/en/detail/apartment/for-sale/7500/tournai/vbc86215
tournai,4,https://immovlan.be/en/detail/bungalow/for-sale/7522/blandain/vbc85946
tournai,4,https://immovlan.be/en/detail/cottage/for-sale/7502/esplechin/vbc74296
tournai,4,https://immovlan.be/en/detail/residence/for-sale/7500/tournai/vbc63677
tournai,4,https://immovlan.be/en/detail/residence/for-sale/7500/tournai/vbc85439
tournai,4,https://immovlan.be/en/detail/residence/for-sale/7500/tournai/vbc85929
tournai,4,https://immovlan.be/en/detail/residence/for-sale/7500/tournai/vbc86291
tournai,4,https://immovlan.be/en/detail/residence/for-sale/7503/froyennes/vbc85326
tournai,4,https://immovlan.be/en/detail/residence/for-sale/7520/templeuve/vbc85644
tournai,4,https://immovlan.be/en/detail/residence/for-sale/7520/templeuve/vbc85947
tournai,4,https://immovlan.be/en/detail/residence/for-sale/7540/rumillies/vbc86312
tournai,4,https://immovlan.be/en/detail/villa/for-sale/7500/tournai/vbc85441
tournai,4,https://immovlan.be/en/detail/villa/for-sale/7521/chercq/vbc85550
tournai,5,https://immovlan.be/en/detail/apartment/for-sale/7500/tournai/vbc68419
tournai,5,https://immovlan.be/en/detail/apartment/for-sale/7500/tournai/vbc83930
tournai,5,https://immovlan.be/en/detail/apartment/for-sale/7500/tournai/vbc84127
tournai,5,https://immovlan.be/en/detail/apartment/for-sale/7500/tournai/vbc84428
tournai,5,https://immovlan.be/en/detail/apartment/for-sale/7500/tournai/vbc84962
tournai,5,https://immovlan.be/en/detail/master-house/for-sale/7500/tournai/vbc84118
tournai,5,https://immovlan.be/en/detail/residence/for-sale/7500/tournai/vbc43594
tournai,5,https://immovlan.be/en/detail/residence/for-sale/7500/tournai/vbc83599
tournai,5,https://immovlan.be/en/detail/residence/for-sale/7500/tournai/vbc83932
tournai,5,https://immovlan.be/en/detail/residence/for-sale/7500/tournai/vbc83933
tournai,5,https://immovlan.be/en/detail/residence/for-sale/7500/tournai/vbc84034
tournai,5,https://immovlan.be/en/detail/residence/for-sale/7500/tournai/vbc84540
tournai,5,https://immovlan.be/en/detail/residence/for-sale/7522/blandain/vbc83591
tournai,5,https://immovlan.be/en/detail/residence/for-sale/7540/kain/vbc65823
tournai,5,https://immovlan.be/en/detail/residence/for-sale/7540/kain/vwd13702
tournai,5,https://immovlan.be/en/detail/studio/for-sale/7500/tournai/vbc84538
tournai,5,https://immovlan.be/en/detail/villa/for-sale/7520/ramegnies-chin/vwd12232
tournai,5,https://immovlan.be/en/detail/villa/for-sale/7520/templeuve/vbc83594
tournai,5,https://immovlan.be/en/detail/villa/for-sale/7521/chercq/vbc84278
tournai,5,https://immovlan.be/en/detail/villa/for-sale/7540/rumillies/vbc84292
tournai,6,https://immovlan.be/en/detail/apartment/for-sale/7500/tournai/vba56121
tournai,6,https://immovlan.be/en/detail/apartment/for-sale/7500/tournai/vbb81448
tournai,6,https://immovlan.be/en/detail/apartment/for-sale/7500/tournai/vbc20323
tournai,6,https://immovlan.be/en/detail/apartment/for-sale/7500/tournai/vbc41721
tournai,6,https://immovlan.be/en/detail/apartment/for-sale/7500/tournai/vbc81672
tournai,6,https://immovlan.be/en/detail/master-house/for-sale/7500/tournai/vwd13581
tournai,6,https://immovlan.be/en/detail/mixed-building/for-sale/7500/tournai/vbc80112
tournai,6,https://immovlan.be/en/detail/mixed-building/for-sale/7500/tournai/vbc80377
tournai,6,https://immovlan.be/en/detail/mixed-building/for-sale/7522/hertain/vbc80376
tournai,6,https://immovlan.be/en/detail/residence/for-sale/7500/ere/vbc80028
tournai,6,https://immovlan.be/en/detail/residence/for-sale/7500/tournai/vbc79995
tournai,6,https://immovlan.be/en/detail/residence/for-sale/7500/tournai/vbc81192
tournai,6,https://immovlan.be/en/detail/residence/for-sale/7500/tournai/vbc82065
tournai,6,https://immovlan.be/en/detail/residence/for-sale/7503/froyennes/vbb92447
tournai,6,https://immovlan.be/en/detail/residence/for-sale/7520/templeuve/vbb13236
tournai,6,https://immovlan.be/en/detail/residence/for-sale/7522/blandain/vbc79972
tournai,6,https://immovlan.be/en/detail/residence/for-sale/7530/gaurain-ramecroix/vbc81760
tournai,6,https://immovlan.be/en/detail/residence/for-sale/7540/rumillies/vbc81132
tournai,6,https://immovlan.be/en/detail/villa/for-sale/7506/willemeau/vbc82060
tournai,6,https://immovlan.be/en/detail/villa/for-sale/7522/lamain/vbc79775
tournai,7,https://immovlan.be/en/detail/apartment/for-sale/7500/tournai/vbc76792
tournai,7,https://immovlan.be/en/detail/apartment/for-sale/7500/tournai/vbc76823
tournai,7,https://immovlan.be/en/detail/apartment/for-sale/7500/tournai/vbc77820
tournai,7,https://immovlan.be/en/detail/apartment/for-sale/7500/tournai/vbc77981
tournai,7,https://immovlan.be/en/detail/apartment/for-sale/7500/tournai/vbc78692
tournai,7,https://immovlan.be/en/detail/apartment/for-sale/7500/tournai/vbc79611
tournai,7,https://immovlan.be/en/detail/residence/for-sale/7500/tournai/rbt37563
tournai,7,https://immovlan.be/en/detail/residence/for-sale/7500/tournai/vbc01150
tournai,7,https://immovlan.be/en/detail/residence/for-sale/7500/tournai/vbc76788
tournai,7,https://immovlan.be/en/detail/residence/for-sale/7500/tournai/vbc76789
tournai,7,https://immovlan.be/en/detail/residence/for-sale/7500/tournai/vbc77556
tournai,7,https://immovlan.be/en/detail/residence/for-sale/7500/tournai/vbc77602
tournai,7,https://immovlan.be/en/detail/residence/for-sale/7500/tournai/vbc79114
tournai,7,https://immovlan.be/en/detail/residence/for-sale/7530/gaurain-ramecroix/vbc79585
tournai,7,https://immovlan.be/en/detail/residence/for-sale/7533/thimougies/vbc77929
tournai,7,https://immovlan.be/en/detail/residence/for-sale/7534/barry/vbc79358
tournai,7,https://immovlan.be/en/detail/residence/for-sale/7538/vezon/vbc77456
tournai,7,https://immovlan.be/en/detail/residence/for-sale/7540/kain/vbc79610
tournai,7,https://immovlan.be/en/detail/villa/for-sale/7536/vaulx/vbc77848
tournai,7,https://immovlan.be/en/detail/villa/for-sale/7538/vezon/rbt35072
tournai,8,https://immovlan.be/en/detail/apartment/for-sale/7500/tournai/vbb79329
tournai,8,https://immovlan.be/en/detail/apartment/for-sale/7500/tournai/vbc65090
tournai,8,https://immovlan.be/en/detail/apartment/for-sale/7500/tournai/vbc74566
tournai,8,https://immovlan.be/en/detail/apartment/for-sale/7500/tournai/vbc75114
tournai,8,https://immovlan.be/en/detail/apartment/for-sale/7500/tournai/vbc75472
tournai,8,https://immovlan.be/en/detail/apartment/for-sale/7500/tournai/vbc75741
tournai,8,https://immovlan.be/en/detail/bungalow/for-sale/7501/orcq/rbt30504
tournai,8,https://immovlan.be/en/detail/cottage/for-sale/7543/mourcourt/rbt34547
tournai,8,https://immovlan.be/en/detail/residence/for-sale/7500/tournai/rbt30440
tournai,8,https://immovlan.be/en/detail/residence/for-sale/7500/tournai/vbc74594
tournai,8,https://immovlan.be/en/detail/residence/for-sale/7500/tournai/vbc75974
tournai,8,https://immovlan.be/en/detail/residence/for-sale/7500/tournai/vwd12413
tournai,8,https://immovlan.be/en/detail/residence/for-sale/7520/templeuve/vbc76226
tournai,8,https://immovlan.be/en/detail/residence/for-sale/7520/templeuve/vbc76380
tournai,8,https://immovlan.be/en/detail/residence/for-sale/7522/blandain/vbc75923
tournai,8,https://immovlan.be/en/detail/residence/for-sale/7530/gaurain-ramecroix/vbc76137
tournai,8,https://immovlan.be/en/detail/residence/for-sale/7531/havinnes/vbc76057
