town,page,url
tubize,5,https://immovlan.be/en/detail/apartment/for-sale/1480/tubize/vbc15660
tubize,5,https://immovlan.be/en/detail/apartment/for-sale/1480/tubize/vbc27091
tubize,5,https://immovlan.be/en/detail/apartment/for-sale/1480/tubize/vbc29772
tubize,5,https://immovlan.be/en/detail/apartment/for-sale/1480/tubize/vbc39826
tubize,5,https://immovlan.be/en/detail/apartment/for-sale/1480/tubize/vbc42501
tubize,5,https://immovlan.be/en/detail/apartment/for-sale/1480/tubize/vbc50347
tubize,5,https://immovlan.be/en/detail/apartment/for-sale/1480/tubize/vbc50348
tubize,5,https://immovlan.be/en/detail/duplex/for-sale/1480/tubize/vbc50346
tubize,5,https://immovlan.be/en/detail/duplex/for-sale/1480/tubize/vbc50350
tubize,5,https://immovlan.be/en/detail/duplex/for-sale/1480/tubize/vbc50351
tubize,5,https://immovlan.be/en/detail/loft/for-sale/1480/tubize/vbc26000
tubize,5,https://immovlan.be/en/detail/loft/for-sale/1480/tubize/vbc52165
tubize,5,https://immovlan.be/en/detail/mixed-building/for-sale/1480/tubize/vbc27733
tubize,5,https://immovlan.be/en/detail/residence/for-sale/1480/tubize/vbc18834
tubize,5,https://immovlan.be/en/detail/residence/for-sale/1480/tubize/vbc19591
tubize,5,https://immovlan.be/en/detail/residence/for-sale/1480/tubize/vbc32538
tubize,5,https://immovlan.be/en/detail/residence/for-sale/1480/tubize/vbc32539
tubize,5,https://immovlan.be/en/detail/residence/for-sale/1480/tubize/vbc45672
tubize,5,https://immovlan.be/en/detail/residence/for-sale/1480/tubize/vbc52759
tubize,5,https://immovlan.be/en/detail/residence/for-sale/1480/tubize/vbc58404
