town,page,url
veurne,4,https://immovlan.be/en/detail/apartment/for-sale/8630/veurne/rbg71441
veurne,4,https://immovlan.be/en/detail/apartment/for-sale/8630/veurne/rbg95450
veurne,4,https://immovlan.be/en/detail/apartment/for-sale/8630/veurne/rbi14815
veurne,4,https://immovlan.be/en/detail/apartment/for-sale/8630/veurne/rbj61563
veurne,4,https://immovlan.be/en/detail/apartment/for-sale/8630/veurne/rbk13731
veurne,4,https://immovlan.be/en/detail/apartment/for-sale/8630/veurne/rbn39307
veurne,4,https://immovlan.be/en/detail/apartment/for-sale/8630/veurne/rbn43845
veurne,4,https://immovlan.be/en/detail/apartment/for-sale/8630/veurne/rbr98839
veurne,4,https://immovlan.be/en/detail/apartment/for-sale/8630/veurne/rbs06628
veurne,4,https://immovlan.be/en/detail/residence/for-sale/8630/veurne/rbr55333
veurne,4,https://immovlan.be/en/detail/residence/for-sale/8630/veurne/rbr84612
veurne,4,https://immovlan.be/en/detail/residence/for-sale/8630/veurne/rbr86837
veurne,4,https://immovlan.be/en/detail/residence/for-sale/8630/veurne/rbs05720
veurne,4,https://immovlan.be/en/detail/residence/for-sale/8630/veurne/rbs09611
veurne,4,https://immovlan.be/en/detail/residence/for-sale/8630/veurne/rbs19141
veurne,4,https://immovlan.be/en/detail/residence/for-sale/8630/veurne/rbs38285
veurne,4,https://immovlan.be/en/detail/studio/for-sale/8630/veurne/rbj02422
