town,page,url
waregem,5,https://immovlan.be/en/detail/apartment/for-sale/8790/waregem/rbs77155
waregem,5,https://immovlan.be/en/detail/apartment/for-sale/8790/waregem/rbs77156
waregem,5,https://immovlan.be/en/detail/apartment/for-sale/8790/waregem/rbs83133
waregem,5,https://immovlan.be/en/detail/apartment/for-sale/8790/waregem/rbs97218
waregem,5,https://immovlan.be/en/detail/apartment/for-sale/8790/waregem/rbs97219
waregem,5,https://immovlan.be/en/detail/apartment/for-sale/8790/waregem/rbs97220
waregem,5,https://immovlan.be/en/detail/apartment/for-sale/8790/waregem/rbs97221
waregem,5,https://immovlan.be/en/detail/apartment/for-sale/8790/waregem/rbt09011
waregem,5,https://immovlan.be/en/detail/apartment/for-sale/8790/waregem/rbt09012
waregem,5,https://immovlan.be/en/detail/apartment/for-sale/8790/waregem/rbt09013
waregem,5,https://immovlan.be/en/detail/apartment/for-sale/8792/desselgem/rbs65050
waregem,5,https://immovlan.be/en/detail/apartment/for-sale/8792/desselgem/rbs76877
waregem,5,https://immovlan.be/en/detail/residence/for-sale/8790/waregem/rbs53819
waregem,5,https://immovlan.be/en/detail/residence/for-sale/8790/waregem/rbt05328
waregem,5,https://immovlan.be/en/detail/residence/for-sale/8791/beveren-leie/rbs85778
waregem,5,https://immovlan.be/en/detail/residence/for-sale/8791/beveren-leie/rbs88681
waregem,5,https://immovlan.be/en/detail/residence/for-sale/8791/beveren-leie/rbt08065
waregem,5,https://immovlan.be/en/detail/residence/for-sale/8792/desselgem/rbs76878
waregem,5,https://immovlan.be/en/detail/residence/for-sale/8792/desselgem/rbs82123
waregem,5,https://immovlan.be/en/detail/villa/for-sale/8791/beveren-leie/rwc39113
