town,page,url
waremme,2,https://immovlan.be/en/detail/apartment/for-sale/4300/waremme/vbc21675
waremme,2,https://immovlan.be/en/detail/apartment/for-sale/4300/waremme/vbc32198
waremme,2,https://immovlan.be/en/detail/apartment/for-sale/4300/waremme/vbc48197
waremme,2,https://immovlan.be/en/detail/apartment/for-sale/4300/waremme/vbc62436
waremme,2,https://immovlan.be/en/detail/bungalow/for-sale/4300/waremme/vbc57501
waremme,2,https://immovlan.be/en/detail/master-house/for-sale/4300/waremme/vbc46664
waremme,2,https://immovlan.be/en/detail/mixed-building/for-sale/4300/waremme/vbb98109
waremme,2,https://immovlan.be/en/detail/penthouse/for-sale/4300/waremme/vwd07936
waremme,2,https://immovlan.be/en/detail/residence/for-sale/4300/oleye/vbc01182
waremme,2,https://immovlan.be/en/detail/residence/for-sale/4300/waremme/vbb48857
waremme,2,https://immovlan.be/en/detail/residence/for-sale/4300/waremme/vbc21240
waremme,2,https://immovlan.be/en/detail/residence/for-sale/4300/waremme/vbc32199
waremme,2,https://immovlan.be/en/detail/residence/for-sale/4300/waremme/vbc45922
waremme,2,https://immovlan.be/en/detail/residence/for-sale/4300/waremme/vbc49794
waremme,2,https://immovlan.be/en/detail/residence/for-sale/4300/waremme/vbc53515
waremme,2,https://immovlan.be/en/detail/residence/for-sale/4300/waremme/vbc53516
waremme,2,https://immovlan.be/en/detail/residence/for-sale/4300/waremme/vbc56448
waremme,2,https://immovlan.be/en/detail/residence/for-sale/4300/waremme/vbc61908
waremme,2,https://immovlan.be/en/detail/residence/for-sale/4300/waremme/vbc64547
waremme,2,https://immovlan.be/en/detail/residence/for-sale/4300/waremme/vbc67019
