town,page,url
wavre,1,https://immovlan.be/en/detail/apartment/for-sale/1300/limal/vbc88678
wavre,1,https://immovlan.be/en/detail/apartment/for-sale/1300/wavre/vbc81200
wavre,1,https://immovlan.be/en/detail/apartment/for-sale/1300/wavre/vbc87394
wavre,1,https://immovlan.be/en/detail/duplex/for-sale/1300/wavre/vbc88468
wavre,1,https://immovlan.be/en/detail/duplex/for-sale/1300/wavre/vbc88470
wavre,1,https://immovlan.be/en/detail/residence/for-sale/1300/wavre/rbt67804
wavre,1,https://immovlan.be/en/detail/residence/for-sale/1300/wavre/vbc10044
wavre,1,https://immovlan.be/en/detail/residence/for-sale/1300/wavre/vbc81794
wavre,1,https://immovlan.be/en/detail/residence/for-sale/1300/wavre/vbc86923
wavre,1,https://immovlan.be/en/detail/residence/for-sale/1300/wavre/vbc87737
wavre,1,https://immovlan.be/en/detail/residence/for-sale/1300/wavre/vbc89380
wavre,1,https://immovlan.be/en/detail/residence/for-sale/1300/wavre/vbc89818
wavre,1,https://immovlan.be/en/detail/residence/for-sale/1300/wavre/vbc90014
wavre,1,https://immovlan.be/en/detail/residence/for-sale/1300/wavre/vbc90496
wavre,1,https://immovlan.be/en/detail/residence/for-sale/1300/wavre/vwd13744
wavre,1,https://immovlan.be/en/detail/villa/for-sale/1300/wavre/rwc39829
wavre,1,https://immovlan.be/en/detail/villa/for-sale/1300/wavre/vbc72964
wavre,1,https://immovlan.be/en/detail/villa/for-sale/1300/wavre/vbc88905
wavre,2,https://immovlan.be/en/detail/apartment/for-sale/1300/wavre/vbc84443
wavre,2,https://immovlan.be/en/detail/apartment/for-sale/1300/wavre/vbc84444
wavre,2,https://immovlan.be/en/detail/apartment/for-sale/1300/wavre/vbc84445
wavre,2,https://immovlan.be/en/detail/apartment/for-sale/1300/wavre/vbc84446
wavre,2,https://immovlan.be/en/detail/apartment/for-sale/1300/wavre/vbc85008
wavre,2,https://immovlan.be/en/detail/apartment/for-sale/1300/wavre/vbc85254
wavre,2,https://immovlan.be/en/detail/apartment/for-sale/1300/wavre/vbc85255
wavre,2,https://immovlan.be/en/detail/apartment/for-sale/1300/wavre/vbc85256
wavre,2,https://immovlan.be/en/detail/apartment/for-sale/1300/wavre/vbc85518
wavre,2,https://immovlan.be/en/detail/apartment/for-sale/1300/wavre/vbc85600
wavre,2,https://immovlan.be/en/detail/apartment/for-sale/1300/wavre/vbc86767
wavre,2,https://immovlan.be/en/detail/residence/for-sale/1300/limal/vbc85804
wavre,2,https://immovlan.be/en/detail/residence/for-sale/1300/wavre/vbc84275
wavre,2,https://immovlan.be/en/detail/residence/for-sale/1300/wavre/vbc84988
wavre,2,https://immovlan.be/en/detail/villa/for-sale/1300/wavre/vbc85944
wavre,3,https://immovlan.be/en/detail/apartment/for-sale/1300/wavre/vbc81117
